"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",13,9,24,15,21,25,22,17,4,7,19,25,17,6,22,21,9,20,22,5,21
"2",11,11,3,16,4,4,5,16,21,9,18,7,19,24,23,5,8,24,5,17,20
"3",20,8,23,20,23,7,6,20,19,8,6,22,7,22,6,24,7,9,13,16,6
"4",2,3,27,3,26,22,11,14,14,10,15,1,26,19,11,2,21,14,20,18,9
"5",25,16,4,21,22,26,12,19,15,25,5,3,16,3,10,19,17,15,4,19,25
"6",3,4,9,24,9,13,16,26,11,4,25,6,8,9,5,14,2,11,16,10,27
"7",7,25,26,13,3,3,24,15,22,26,11,2,12,16,8,18,14,5,19,3,18
"8",21,13,5,5,11,11,25,3,17,3,10,20,20,25,4,17,23,18,21,11,24
"9",6,5,21,18,13,12,9,5,24,21,4,18,4,7,16,8,18,21,24,23,23
"10",14,26,1,17,20,21,18,12,5,13,2,13,2,27,14,1,6,1,26,14,16
"11",8,18,10,23,25,18,21,7,20,18,23,8,5,23,19,22,22,22,11,8,8
"12",1,27,14,27,19,1,13,1,1,1,16,26,14,15,12,16,15,16,2,26,12
"13",9,24,2,7,17,9,10,24,25,15,26,17,23,5,13,25,12,17,25,15,2
"14",5,17,7,10,6,24,23,21,18,6,7,23,11,10,21,9,20,6,10,21,3
"15",18,19,11,25,5,23,7,9,16,24,13,24,25,11,7,7,4,23,18,7,7
"16",15,2,12,19,2,2,19,10,9,14,1,12,27,1,26,27,27,12,14,13,10
"17",22,7,8,11,8,14,8,2,3,23,20,5,13,20,20,20,10,7,23,22,4
"18",4,20,18,4,15,19,2,6,12,17,8,16,22,18,24,23,3,8,7,9,26
"19",19,14,13,2,27,5,27,27,13,27,12,15,9,13,27,13,1,27,17,27,14
"20",17,12,20,14,18,17,26,4,23,12,22,9,21,2,2,10,5,3,6,25,11
"21",26,15,16,26,16,15,1,22,26,2,14,11,15,14,25,11,26,2,27,1,13
"22",23,21,25,22,10,10,20,23,7,19,24,19,24,21,17,4,19,10,12,20,22
"23",16,23,19,9,7,20,3,18,6,11,17,10,3,12,3,26,25,25,15,24,19
"24",27,1,15,1,1,27,15,13,27,16,27,27,1,17,15,15,13,13,1,12,15
"25",10,6,17,12,14,16,17,25,2,20,3,14,18,26,1,12,16,26,3,2,1
"26",24,22,22,6,12,8,14,8,10,5,9,4,6,4,18,3,11,19,8,6,5
"27",12,10,6,8,24,6,4,11,8,22,21,21,10,8,9,6,24,4,9,4,17
