"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",12,27,28,13,13,12,1,1,27,11,16,28,15,1,11,16,13,28,28,27,28,13,1,14,15,16,3
"2",28,12,17,16,2,2,28,13,13,12,3,27,14,8,2,15,27,17,11,17,2,16,15,3,3,27,28
"3",19,19,9,25,5,20,7,26,5,2,10,7,12,5,19,22,12,24,23,9,8,20,26,12,16,26,10
"4",15,1,14,15,16,9,16,17,28,1,27,16,28,27,15,1,16,1,27,1,16,28,13,2,13,28,12
"5",14,17,15,28,14,1,2,28,2,28,28,15,27,15,1,14,15,14,1,28,14,1,28,28,12,14,14
"6",2,15,12,27,27,16,20,3,3,14,26,11,3,4,14,3,14,19,16,16,27,26,17,11,2,2,23
"7",1,13,1,1,1,14,13,16,17,16,14,1,26,14,17,2,1,27,12,12,1,2,12,15,1,18,2
"8",22,26,4,6,26,19,23,20,25,8,18,12,17,3,13,23,10,4,2,15,17,9,14,26,11,25,26
"9",5,5,20,7,8,24,3,6,6,13,11,18,21,13,21,26,18,11,5,3,19,24,8,22,5,20,19
"10",4,6,25,5,23,7,6,19,20,23,20,9,5,19,8,17,19,25,21,13,5,18,18,21,20,24,24
"11",21,23,21,3,11,10,11,9,4,4,13,25,4,20,7,6,8,3,20,6,13,7,23,17,6,9,20
"12",24,3,6,8,10,25,18,10,18,18,17,10,20,21,4,27,23,23,25,25,18,12,25,9,7,5,13
"13",3,20,16,11,4,26,26,24,14,3,19,17,8,26,23,9,26,16,18,26,24,4,16,18,26,19,18
"14",23,10,24,26,21,22,17,12,8,19,12,3,16,9,5,4,25,7,19,10,21,5,4,20,21,23,7
"15",8,11,8,20,25,6,25,8,12,7,7,23,23,24,9,25,6,18,15,11,23,19,24,23,23,17,4
"16",20,24,23,10,3,4,22,23,9,20,25,5,19,16,12,19,7,21,10,5,22,23,6,8,22,8,17
"17",26,25,3,17,12,13,4,2,15,17,4,2,18,25,18,8,17,13,22,21,9,25,11,27,27,11,25
"18",6,22,10,23,24,23,9,22,24,10,8,22,22,18,6,7,22,22,7,7,11,11,7,6,17,6,21
"19",10,16,19,9,22,11,10,4,11,6,23,6,24,7,20,20,24,5,9,20,4,8,21,5,25,7,9
"20",17,4,18,22,20,3,8,21,21,9,6,4,10,17,25,24,4,10,17,23,25,6,10,10,4,12,22
"21",9,18,7,24,6,5,24,11,22,22,24,21,7,11,22,21,20,9,24,8,7,10,5,24,8,10,11
"22",25,7,26,18,19,18,19,18,7,5,22,20,13,22,26,10,11,26,3,19,6,17,9,25,9,4,6
"23",27,9,5,19,15,17,5,5,19,25,21,24,6,12,24,11,9,20,8,4,20,3,20,4,24,21,16
"24",18,8,11,4,7,8,12,25,26,21,5,19,11,6,16,5,21,8,6,18,26,21,22,19,19,3,5
"25",13,14,27,14,18,28,27,15,16,26,2,14,25,2,27,13,2,12,26,2,12,14,27,16,18,1,27
"26",11,2,2,12,17,27,15,27,10,15,15,26,2,10,3,18,3,2,14,22,3,27,3,13,28,13,15
"27",7,21,22,21,9,21,21,7,23,24,9,8,9,23,10,12,5,6,4,24,10,22,19,7,10,22,8
"28",16,28,13,2,28,15,14,14,1,27,1,13,1,28,28,28,28,15,13,14,15,15,2,1,14,15,1
