"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",19,3,5,4,8,12,16,15,11,6,23,3,11,9,3,3,3,20,5,23,12,18
"2",17,16,16,5,26,10,3,3,21,15,18,27,4,20,17,9,7,26,23,25,19,15
"3",21,25,15,23,24,7,25,10,10,19,25,20,10,11,5,12,21,6,4,16,25,9
"4",12,2,17,3,25,22,24,9,25,25,10,9,25,12,19,14,18,24,7,14,1,10
"5",23,21,23,12,10,18,10,21,20,22,19,5,24,5,23,7,6,5,15,19,18,3
"6",9,22,3,8,7,20,22,7,19,9,6,24,23,21,10,4,17,8,12,17,20,24
"7",11,1,13,27,13,1,27,26,14,13,14,15,27,27,14,13,1,1,27,27,13,12
"8",26,13,18,1,15,19,18,17,12,26,2,17,15,16,2,26,4,10,25,4,26,17
"9",6,11,24,17,16,11,15,5,18,3,5,2,18,6,6,17,23,17,22,24,24,5
"10",15,20,7,20,23,24,13,23,5,20,4,7,7,24,7,5,12,18,21,18,4,8
"11",4,6,19,6,17,17,6,24,17,11,16,19,5,17,4,6,24,4,9,6,8,4
"12",5,23,9,7,20,5,21,18,6,7,17,8,19,19,24,19,8,21,10,5,21,6
"13",27,27,26,15,11,16,26,16,16,12,15,1,1,26,15,16,27,27,14,9,11,27
"14",16,10,25,18,6,23,23,4,4,2,22,25,14,13,18,8,9,12,20,3,6,7
"15",14,15,27,13,27,2,1,14,1,14,1,14,26,1,12,2,14,14,2,2,14,26
"16",25,12,4,11,12,14,11,2,2,17,11,18,16,22,26,24,25,13,3,26,10,1
"17",1,18,1,26,14,13,14,13,26,27,27,13,12,14,27,1,26,15,26,1,15,16
"18",7,5,20,21,3,9,8,8,8,24,9,4,6,23,20,11,10,9,8,11,23,19
"19",24,4,8,22,19,21,7,25,9,8,12,23,20,7,21,10,22,23,17,12,22,20
"20",10,19,21,24,21,15,17,20,22,5,7,21,8,10,25,22,5,11,6,22,7,22
"21",13,14,14,14,1,27,2,27,27,1,26,11,13,25,13,27,15,16,1,15,27,11
"22",20,24,10,2,2,4,5,12,13,4,3,12,9,8,22,15,19,3,24,13,2,13
"23",2,8,11,10,18,26,19,11,3,16,20,10,2,2,16,25,16,2,19,20,17,25
"24",3,26,12,25,9,25,4,1,15,18,13,16,17,3,1,18,2,25,11,10,9,14
"25",22,9,6,19,22,8,9,6,24,10,21,6,22,18,8,23,11,7,16,7,5,23
"26",18,7,2,16,5,3,20,19,23,21,8,26,3,4,11,21,13,19,13,8,16,2
"27",8,17,22,9,4,6,12,22,7,23,24,22,21,15,9,20,20,22,18,21,3,21
