"","V1","V2","V3"
"1",3,14,5
"2",5,7,15
"3",10,6,4
"4",13,4,13
"5",8,9,1
"6",4,3,2
"7",14,12,3
"8",7,1,11
"9",9,15,10
"10",15,8,9
"11",1,5,8
"12",2,10,12
"13",12,2,6
"14",6,11,7
"15",11,13,14
