"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",15,5,5,9,9,19,22,7,20,23,4,18,10,16,7,4,3,10,9,6,6,6
"2",5,10,10,3,23,21,14,24,12,24,8,9,23,11,19,12,24,4,20,15,22,2
"3",26,12,13,10,13,2,26,26,1,15,14,15,26,14,1,26,2,1,13,14,13,26
"4",23,18,4,11,25,11,19,11,9,2,13,25,14,24,12,19,20,15,19,26,2,1
"5",8,17,7,12,3,7,4,12,4,18,19,7,4,8,6,8,5,16,15,24,23,3
"6",14,24,15,18,16,25,24,17,3,10,3,10,12,2,2,11,23,24,1,17,11,9
"7",19,22,3,7,17,8,9,20,10,7,6,6,8,22,20,9,11,9,3,5,19,22
"8",9,3,11,15,21,20,5,3,5,4,20,1,16,12,5,16,17,6,12,3,4,19
"9",24,1,14,14,10,13,3,14,24,1,2,16,25,1,16,2,16,13,11,25,26,16
"10",12,16,6,23,4,24,16,23,18,5,10,23,17,9,9,18,8,19,21,4,24,21
"11",25,11,26,1,1,26,15,2,11,13,16,13,2,25,10,15,25,14,7,11,25,15
"12",11,8,22,6,15,4,11,8,21,8,5,3,18,21,3,20,9,22,24,18,17,8
"13",4,4,17,19,18,5,21,10,14,6,15,21,3,5,18,22,10,7,2,10,21,5
"14",17,2,2,17,11,16,23,18,16,25,24,2,6,18,17,24,18,23,16,19,18,18
"15",18,23,8,5,19,22,6,4,17,16,22,19,22,7,23,23,6,21,6,16,12,12
"16",6,20,23,16,22,17,17,16,19,20,23,22,20,23,4,6,12,8,8,22,20,20
"17",21,19,21,20,6,9,10,22,22,21,17,5,21,10,11,21,19,11,5,7,5,4
"18",22,14,24,24,24,12,20,5,8,22,11,4,15,6,24,3,4,17,18,8,16,17
"19",13,26,1,25,14,1,13,1,26,11,26,14,13,13,13,1,26,2,26,12,15,11
"20",1,13,12,26,26,14,2,25,25,14,12,11,1,26,14,13,1,26,10,13,1,14
"21",20,6,20,21,8,23,7,21,7,9,21,17,11,20,22,10,7,5,23,20,10,7
"22",10,21,19,8,7,18,18,9,23,12,9,8,5,4,25,17,13,3,17,23,3,25
"23",7,9,9,22,5,3,12,6,6,19,7,20,19,19,21,14,22,18,4,21,8,23
"24",2,25,25,13,12,15,1,13,2,26,1,26,9,15,15,25,15,12,25,1,14,13
"25",16,7,18,4,20,6,8,19,15,17,18,24,7,3,8,7,21,20,22,9,7,24
"26",3,15,16,2,2,10,25,15,13,3,25,12,24,17,26,5,14,25,14,2,9,10
