"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",5,7,4,13,13,5,6,3,4,8,16,3,6,13,17
"2",15,16,14,5,11,15,7,13,16,6,18,2,4,12,5
"3",18,4,15,7,16,6,16,14,3,11,3,4,14,14,10
"4",4,14,6,4,15,9,14,5,14,14,11,5,15,2,2
"5",14,9,8,15,18,14,3,4,11,3,6,13,16,17,4
"6",6,2,13,18,9,2,11,11,18,10,19,18,17,11,6
"7",2,5,10,8,2,11,5,15,17,2,5,6,13,6,16
"8",7,1,11,2,14,18,13,10,12,13,9,14,1,19,18
"9",16,6,3,6,6,16,15,6,6,5,17,17,12,5,11
"10",12,10,18,14,1,12,19,2,15,17,14,7,11,16,13
"11",1,11,17,9,19,13,4,17,5,18,15,16,10,7,9
"12",19,19,5,10,12,8,8,7,19,19,4,19,9,10,15
"13",17,3,12,12,4,7,1,8,7,15,10,9,2,3,1
"14",8,12,19,1,8,1,10,1,8,1,1,12,7,8,8
"15",10,18,16,16,10,19,9,9,1,9,8,8,19,1,19
"16",13,13,9,17,17,4,17,18,13,4,12,11,3,4,14
"17",9,8,1,19,7,17,12,19,10,16,2,1,8,9,7
"18",3,17,7,11,3,10,18,12,2,7,7,15,5,15,3
"19",11,15,2,3,5,3,2,16,9,12,13,10,18,18,12
