"","V1","V2","V3","V4","V5","V6"
"1",22,25,10,26,7,15
"2",8,13,6,20,1,11
"3",20,20,25,15,2,28
"4",10,22,26,25,17,4
"5",7,19,3,27,23,18
"6",28,24,24,12,22,8
"7",23,27,5,5,19,26
"8",26,18,2,18,9,3
"9",21,4,7,23,26,5
"10",17,21,12,1,25,10
"11",9,6,23,7,24,25
"12",13,1,1,9,18,14
"13",15,29,19,22,14,20
"14",24,2,27,16,13,12
"15",11,28,16,8,3,6
"16",16,9,4,13,6,23
"17",3,3,17,24,10,27
"18",29,14,15,29,16,24
"19",25,12,18,10,29,16
"20",19,15,20,6,11,1
"21",5,7,14,14,20,2
"22",14,8,22,28,5,9
"23",4,23,8,11,12,22
"24",18,10,29,21,21,21
"25",2,26,21,19,27,13
"26",12,16,11,17,28,29
"27",27,5,13,3,4,19
"28",6,17,28,2,8,17
"29",1,11,9,4,15,7
