"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1",3,27,27,20,3,19,3,20,10,14,28,28,11,11,14,20,4,24,10,17,28,24,22,18,21,27
"2",15,15,29,2,15,30,19,1,1,16,19,14,1,19,18,15,14,1,2,1,16,28,29,29,1,16
"3",8,24,22,13,8,5,6,5,23,6,4,20,20,6,21,23,20,9,6,26,13,8,19,27,9,9
"4",14,4,10,25,11,9,10,4,25,12,18,25,23,25,28,13,12,23,20,4,22,26,4,26,25,11
"5",9,13,26,21,25,26,21,7,8,10,22,10,18,23,20,22,9,25,26,28,7,6,15,4,24,6
"6",5,28,19,28,5,15,29,22,13,1,10,1,17,18,29,4,8,10,18,3,3,17,10,13,7,17
"7",12,22,5,22,24,4,8,10,7,9,12,9,5,4,8,28,13,4,24,13,21,27,9,5,13,20
"8",19,30,18,16,30,1,1,30,2,30,15,13,19,14,17,1,19,29,29,10,15,14,17,30,30,15
"9",13,12,23,18,12,20,9,26,26,27,6,7,26,26,6,26,10,8,5,5,17,13,20,6,27,23
"10",7,20,12,5,19,11,23,25,9,13,5,4,12,27,4,11,17,20,4,27,26,20,5,24,20,4
"11",26,25,24,12,22,18,27,6,21,19,7,21,24,10,5,8,6,22,23,9,24,23,24,10,10,7
"12",6,5,21,10,7,6,11,12,20,23,25,8,4,28,10,6,25,26,22,22,12,21,21,9,6,19
"13",30,14,30,1,1,2,16,19,15,15,13,16,30,15,15,30,30,16,16,15,1,30,1,1,18,1
"14",20,2,28,4,29,10,15,18,27,4,14,3,13,2,27,12,11,14,21,18,29,4,27,16,19,25
"15",29,18,14,15,10,24,20,17,17,2,3,18,3,29,19,27,27,28,28,7,27,9,12,20,12,28
"16",24,9,11,9,6,25,5,9,5,7,26,6,21,8,11,5,24,11,9,8,25,11,11,12,22,8
"17",21,23,25,23,23,8,22,11,22,18,23,23,9,22,9,7,23,6,7,11,4,7,6,21,23,26
"18",18,11,15,17,13,12,14,2,3,29,2,30,15,16,16,3,2,15,14,29,20,1,2,2,3,29
"19",22,10,6,11,9,7,26,23,4,5,24,24,27,21,7,19,7,7,27,24,11,16,25,23,15,21
"20",28,17,4,29,2,17,13,3,16,20,11,2,2,12,1,18,15,18,17,21,6,2,28,25,29,13
"21",23,3,13,24,14,3,28,27,18,22,27,11,7,9,22,29,3,19,3,12,19,10,16,17,5,3
"22",17,21,17,8,4,27,24,24,24,26,20,26,6,3,26,16,18,5,25,25,18,19,7,7,28,12
"23",10,29,2,19,17,14,17,14,14,28,30,15,28,30,30,14,29,3,15,16,30,3,30,11,14,5
"24",25,26,9,6,26,23,4,13,19,25,21,5,22,20,25,24,5,17,12,23,9,22,8,22,8,24
"25",2,6,20,27,27,28,18,21,12,21,17,19,25,7,3,21,28,12,19,19,23,12,3,28,4,18
"26",1,1,3,14,18,29,2,16,29,17,1,17,10,17,12,9,1,2,30,14,2,15,14,19,17,2
"27",11,19,8,3,21,16,12,29,28,3,29,29,16,13,2,17,16,27,13,2,8,5,13,3,2,14
"28",16,16,1,30,16,22,30,15,30,11,16,12,29,1,13,2,21,30,1,30,14,29,18,15,16,30
"29",4,7,7,7,20,13,25,8,6,24,8,22,14,5,24,25,26,21,11,6,5,18,23,14,26,22
"30",27,8,16,26,28,21,7,28,11,8,9,27,8,24,23,10,22,13,8,20,10,25,26,8,11,10
