"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",5,16,15,4,13,6,16,5,6,6,6,3,17,7,14,8,6,5
"2",11,7,19,1,19,10,1,8,11,10,19,19,19,10,10,1,19,10
"3",1,9,1,19,10,19,19,1,1,9,12,18,11,9,1,10,10,11
"4",19,10,18,18,9,11,2,9,3,18,1,8,9,12,9,12,1,1
"5",2,2,9,9,12,9,8,19,5,1,2,11,1,19,8,2,11,8
"6",15,5,17,15,7,16,17,13,13,3,16,7,6,4,16,5,8,9
"7",8,1,12,10,11,13,18,10,10,19,8,2,12,15,19,19,18,19
"8",12,18,10,17,18,7,12,7,12,7,11,17,2,18,15,18,2,12
"9",14,14,7,2,17,17,14,16,7,12,14,5,4,11,5,15,13,3
"10",6,8,8,7,3,8,9,15,4,16,17,16,13,2,17,17,4,7
"11",3,15,11,6,5,15,6,4,14,17,15,6,7,16,7,4,5,14
"12",9,17,5,16,4,14,13,14,16,13,5,14,16,13,13,3,15,4
"13",16,13,4,3,6,12,5,3,9,2,3,13,8,6,18,13,16,13
"14",7,12,14,12,15,18,4,17,18,5,7,12,15,5,6,16,7,17
"15",17,4,6,5,14,4,15,12,15,15,4,15,10,8,3,6,3,15
"16",13,3,13,8,2,5,10,2,19,4,13,9,14,14,2,14,12,2
"17",10,19,16,11,1,1,11,11,2,11,9,10,3,1,4,7,17,18
"18",18,11,2,13,8,2,7,18,8,8,18,1,18,17,11,9,9,16
"19",4,6,3,14,16,3,3,6,17,14,10,4,5,3,12,11,14,6
