"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",25,9,4,15,23,2,13,19
"2",21,6,6,21,9,18,5,6
"3",20,12,11,2,25,12,25,7
"4",1,1,14,12,24,15,15,25
"5",6,21,7,22,22,21,22,13
"6",4,10,16,17,10,1,26,10
"7",26,20,19,13,13,14,21,1
"8",7,11,10,14,1,23,2,18
"9",17,26,2,8,12,24,14,11
"10",24,16,15,25,6,25,18,16
"11",8,8,17,10,20,26,10,2
"12",22,22,13,4,18,20,7,23
"13",2,17,5,6,16,9,3,8
"14",3,25,20,24,8,13,12,20
"15",16,5,23,19,15,22,24,22
"16",15,23,12,18,4,3,8,3
"17",12,3,9,26,17,6,17,4
"18",23,2,25,9,5,10,11,12
"19",13,19,26,16,26,17,6,9
"20",5,14,22,3,3,19,16,5
"21",11,4,3,5,7,16,20,15
"22",19,13,21,23,21,8,1,14
"23",10,24,24,7,19,4,19,17
"24",9,15,1,20,14,11,9,26
"25",18,18,8,11,2,7,23,24
"26",14,7,18,1,11,5,4,21
