"","V1","V2","V3","V4","V5","V6","V7"
"1",24,16,23,16,3,1,16
"2",7,26,3,17,22,12,17
"3",19,6,27,15,19,15,24
"4",21,4,20,8,5,20,5
"5",1,25,13,11,10,6,7
"6",14,20,21,24,15,7,27
"7",18,13,6,23,24,3,6
"8",12,21,8,25,2,21,9
"9",15,10,17,1,1,9,19
"10",9,3,10,19,7,4,23
"11",26,18,4,3,9,14,10
"12",23,24,18,20,20,17,2
"13",27,2,14,27,13,11,12
"14",11,7,1,13,14,8,1
"15",4,17,16,26,25,19,20
"16",13,1,7,6,26,18,15
"17",2,5,22,18,16,24,11
"18",17,27,15,14,6,27,14
"19",8,15,11,2,18,26,4
"20",3,14,5,9,4,16,25
"21",5,8,19,4,21,2,13
"22",6,12,26,22,8,13,3
"23",22,22,9,7,17,5,21
"24",16,19,25,10,27,10,8
"25",25,11,12,12,23,23,26
"26",20,9,2,21,11,25,18
"27",10,23,24,5,12,22,22
