"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",7,17,9,10,17,1,3,8
"2",6,14,2,11,6,12,18,2
"3",14,16,11,1,8,18,12,5
"4",10,13,4,15,13,19,1,12
"5",11,1,16,9,11,17,19,13
"6",3,9,8,6,18,15,16,16
"7",17,15,17,12,15,13,7,18
"8",12,11,3,5,5,3,6,17
"9",1,19,15,7,2,9,9,11
"10",9,12,19,4,14,5,14,3
"11",16,3,7,8,3,14,4,4
"12",2,2,5,14,12,4,11,6
"13",5,4,13,2,9,7,2,15
"14",13,7,12,17,19,8,8,1
"15",15,18,6,19,10,6,15,14
"16",18,8,14,13,4,2,17,9
"17",4,10,18,18,7,16,5,7
"18",19,6,1,3,16,10,10,10
"19",8,5,10,16,1,11,13,19
