"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",27,1,15,14,15,14,27,27,13,17,1,13,18,26,14,2,27,15,26,27
"2",7,17,12,10,19,9,10,23,8,4,4,23,7,24,25,19,21,4,18,9
"3",2,12,1,12,8,1,1,15,12,27,11,1,16,1,18,12,11,10,27,12
"4",22,25,3,26,13,7,24,16,2,19,12,18,10,17,17,24,3,21,16,4
"5",14,16,6,17,11,25,17,2,3,5,17,26,27,10,27,3,13,13,21,22
"6",1,14,13,16,1,13,13,13,27,1,19,12,13,27,12,1,1,27,10,1
"7",25,20,16,9,9,24,6,21,21,13,3,22,20,4,22,15,5,23,5,13
"8",26,15,27,13,16,2,12,1,14,26,20,25,17,25,2,26,10,11,9,15
"9",19,9,21,20,4,18,14,9,24,22,6,7,25,14,24,23,20,5,17,3
"10",3,5,2,11,14,27,18,17,25,14,21,16,1,13,19,27,26,12,1,16
"11",23,10,18,21,21,4,15,20,11,10,23,9,2,7,23,5,4,3,12,19
"12",21,13,17,8,22,20,16,14,1,2,13,2,14,3,1,25,24,26,19,17
"13",5,8,20,3,5,21,20,18,4,21,7,21,11,18,5,8,6,6,13,20
"14",16,11,7,5,25,12,22,3,19,23,8,4,6,22,26,9,14,24,6,14
"15",12,27,14,1,26,15,7,4,26,18,14,15,12,9,13,22,2,1,22,26
"16",9,24,24,4,6,5,23,24,16,7,18,5,23,16,20,21,15,17,11,24
"17",11,18,8,22,20,23,21,22,20,15,22,3,22,23,3,16,8,7,24,10
"18",4,21,19,25,24,17,2,10,10,20,25,19,21,19,21,10,25,22,14,18
"19",18,19,10,7,2,10,25,7,7,16,27,14,19,5,10,11,23,2,4,8
"20",20,7,5,2,23,6,3,19,23,8,16,20,26,15,6,6,18,16,15,5
"21",10,2,25,27,27,16,26,12,17,3,10,27,15,2,15,14,12,9,7,6
"22",6,4,9,19,17,8,8,8,6,11,2,8,24,12,8,20,7,20,3,21
"23",13,26,26,15,18,26,9,26,5,25,15,6,9,11,11,4,17,14,2,2
"24",15,6,11,23,3,11,11,25,18,24,24,24,8,6,9,18,16,25,20,23
"25",17,3,23,6,10,22,5,6,9,9,26,11,4,20,16,17,9,18,25,7
"26",24,23,4,24,7,19,4,11,15,6,9,10,5,21,7,13,19,8,8,25
"27",8,22,22,18,12,3,19,5,22,12,5,17,3,8,4,7,22,19,23,11
