"","V1","V2","V3","V4","V5","V6","V7"
"1",28,6,8,16,22,17,26
"2",14,21,3,18,18,28,6
"3",7,29,9,17,10,2,18
"4",4,4,16,28,20,5,16
"5",29,20,28,23,12,10,13
"6",5,19,7,2,25,23,20
"7",11,27,26,25,17,20,25
"8",26,17,1,10,5,19,15
"9",13,1,18,5,28,18,14
"10",3,15,24,4,8,16,3
"11",1,12,2,22,15,13,21
"12",2,23,17,15,2,26,12
"13",17,11,29,8,19,29,17
"14",18,25,19,3,7,12,27
"15",12,10,4,7,3,6,24
"16",10,24,11,9,21,11,1
"17",23,14,12,29,9,27,23
"18",19,2,6,13,11,9,4
"19",16,16,14,20,29,8,29
"20",25,22,23,11,23,4,22
"21",9,7,10,24,6,21,9
"22",24,9,20,21,24,24,2
"23",20,26,5,27,27,15,11
"24",6,13,27,14,26,7,8
"25",15,18,21,26,4,3,5
"26",8,5,22,12,13,25,28
"27",27,28,15,6,14,22,7
"28",21,3,25,19,1,14,19
"29",22,8,13,1,16,1,10
