"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",1,15,11,14,28,1,11,28,10,14,17,12,28,1,1,14,8,27,12
"2",6,11,27,24,17,11,19,2,20,8,27,18,23,16,9,5,17,23,27
"3",14,2,18,28,27,2,16,7,19,13,14,13,2,23,15,26,27,11,1
"4",21,22,8,3,25,5,18,19,4,21,25,24,17,22,16,4,16,8,9
"5",7,10,5,6,26,19,12,5,12,10,4,4,7,18,18,8,7,6,23
"6",18,27,15,8,18,14,3,26,23,18,2,17,5,21,11,11,26,25,26
"7",15,28,14,25,14,10,15,1,1,16,1,19,15,2,27,20,1,1,15
"8",13,4,16,10,8,12,4,9,2,3,24,27,3,12,7,12,4,16,7
"9",20,5,7,23,5,16,20,21,3,9,5,3,18,19,8,21,21,24,11
"10",16,1,12,1,12,28,14,14,28,1,16,11,14,28,28,1,14,28,14
"11",12,23,20,26,22,25,23,15,5,25,12,7,4,11,3,2,12,17,19
"12",26,19,25,11,21,6,7,11,6,2,10,2,25,13,24,16,24,15,20
"13",5,9,28,2,16,26,1,17,8,19,7,14,16,7,10,27,18,9,6
"14",9,21,21,4,4,4,21,20,18,5,11,22,9,6,17,24,10,22,22
"15",28,12,1,13,13,17,28,27,9,15,28,15,1,14,26,28,13,14,28
"16",3,20,24,22,6,15,10,18,26,17,26,1,6,20,23,17,9,7,10
"17",25,17,23,17,3,20,13,4,11,22,19,16,8,3,19,7,23,26,3
"18",22,14,6,21,24,23,9,16,24,4,21,21,10,5,4,19,22,3,18
"19",10,25,3,27,9,22,5,25,16,7,9,20,26,15,21,6,15,13,2
"20",8,24,2,12,10,7,6,3,14,28,20,8,13,27,6,25,19,18,17
"21",19,26,10,9,19,24,24,8,22,11,23,5,22,9,14,23,5,20,4
"22",2,18,13,15,1,27,25,10,7,12,15,28,20,25,13,15,28,5,24
"23",4,8,4,18,20,8,26,12,25,23,6,26,11,10,25,13,20,19,8
"24",23,7,9,20,2,3,2,13,21,20,13,9,19,8,12,3,6,10,25
"25",17,6,22,19,23,21,8,22,13,24,18,25,21,24,22,22,3,21,21
"26",11,3,17,7,11,13,22,24,17,27,22,6,24,4,20,10,25,2,16
"27",24,16,26,16,15,9,27,23,15,6,8,10,12,26,5,9,2,4,5
"28",27,13,19,5,7,18,17,6,27,26,3,23,27,17,2,18,11,12,13
