"","V1","V2","V3","V4","V5","V6"
"1",23,20,1,7,19,13
"2",17,5,12,1,5,15
"3",21,13,3,25,14,29
"4",12,22,9,29,10,9
"5",14,8,16,28,1,22
"6",8,27,25,24,6,14
"7",6,18,7,3,7,24
"8",4,24,15,5,27,10
"9",19,25,4,15,2,4
"10",15,19,30,8,15,3
"11",26,30,19,19,17,7
"12",9,4,5,12,24,6
"13",13,14,23,16,30,12
"14",11,6,24,6,18,28
"15",3,21,20,26,25,26
"16",20,26,27,2,23,18
"17",22,7,26,27,26,5
"18",16,28,6,21,29,21
"19",5,3,29,20,13,17
"20",28,2,8,22,8,11
"21",25,10,17,4,11,2
"22",7,15,11,23,20,1
"23",27,11,10,9,28,25
"24",30,17,14,30,22,16
"25",2,12,21,10,3,8
"26",24,16,28,18,4,27
"27",18,1,18,14,21,23
"28",29,23,22,11,9,20
"29",1,9,2,17,16,19
"30",10,29,13,13,12,30
