"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",19,18,4,6,11,17,5,5,10,23,18,15,5,8,5,4,10,22,16,22,7,19,4,9
"2",14,15,14,24,24,13,13,24,1,3,14,12,1,2,24,24,25,23,25,13,14,12,2,12
"3",21,22,21,17,22,22,4,16,7,20,8,3,15,9,7,21,15,10,3,15,3,9,15,21
"4",11,25,1,25,1,12,14,1,13,1,25,1,17,13,11,13,13,1,12,1,1,13,13,1
"5",9,16,3,11,19,4,2,14,15,14,10,10,3,23,17,2,23,9,2,3,13,23,9,24
"6",16,9,23,19,4,16,19,18,9,9,20,8,8,18,4,8,22,4,17,21,21,21,17,20
"7",8,14,16,22,20,23,16,4,22,18,16,24,11,22,15,22,8,3,5,18,20,18,3,11
"8",24,13,12,3,17,15,23,10,24,8,11,7,2,24,9,18,3,15,24,10,2,16,24,16
"9",10,12,8,23,12,24,17,22,11,16,3,23,13,15,2,3,4,18,23,2,10,3,11,22
"10",3,7,20,7,5,18,9,8,16,17,19,6,21,19,18,23,18,21,19,5,8,10,7,19
"11",25,24,11,13,3,2,25,25,14,25,12,13,25,25,14,15,14,12,15,25,15,1,1,14
"12",6,20,19,16,8,11,20,3,19,10,9,20,4,10,22,7,19,19,7,20,5,4,20,17
"13",22,5,7,8,10,10,10,7,17,4,6,18,10,3,3,20,16,2,10,9,22,5,6,18
"14",5,3,24,5,16,7,22,23,5,15,17,11,6,11,10,11,7,5,6,11,6,7,5,4
"15",15,6,10,18,21,8,21,15,20,22,21,19,23,7,6,17,21,20,8,4,9,22,18,10
"16",13,1,15,15,25,9,1,12,25,11,24,2,14,12,13,1,1,24,13,24,24,2,12,15
"17",2,11,13,2,2,14,11,13,3,2,13,25,24,1,12,14,2,13,1,23,12,24,14,25
"18",7,8,6,20,6,5,7,19,18,21,5,5,9,6,20,19,5,7,18,19,11,15,21,8
"19",23,10,9,14,7,19,3,17,4,12,23,22,7,20,23,16,11,17,4,8,18,8,23,3
"20",4,21,5,4,23,20,8,20,21,5,15,16,19,17,8,10,20,8,20,17,16,6,19,7
"21",18,17,22,10,9,21,18,21,23,7,7,4,20,4,19,5,9,16,9,7,17,20,8,6
"22",17,19,17,9,18,3,15,6,8,19,22,17,18,5,21,9,6,6,22,6,19,11,22,23
"23",1,23,25,12,13,1,12,11,12,13,1,14,12,16,1,25,12,25,14,12,25,25,25,2
"24",20,4,18,21,15,6,6,9,6,6,4,21,22,21,16,6,17,11,21,16,4,17,10,5
"25",12,2,2,1,14,25,24,2,2,24,2,9,16,14,25,12,24,14,11,14,23,14,16,13
