"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",10,12,3,13,19,13,2,10,1,13,20,20,10,14,21,21,11,2,1,12
"2",3,14,19,3,13,20,8,19,15,2,19,13,14,15,10,14,2,13,9,20
"3",18,18,16,19,14,16,4,17,16,17,7,16,3,16,12,5,13,7,16,6
"4",16,20,4,7,8,18,19,3,12,9,8,19,9,7,19,2,3,15,12,14
"5",11,1,21,2,21,1,12,1,13,21,1,21,12,10,9,11,10,11,11,1
"6",2,11,2,21,12,11,11,2,21,10,21,2,1,12,2,10,9,21,13,7
"7",21,9,1,1,1,21,1,11,11,12,10,11,21,11,1,13,21,10,21,10
"8",1,21,10,11,20,15,21,21,3,20,11,1,13,1,11,12,20,12,14,11
"9",17,5,5,5,16,6,7,16,17,15,15,7,5,5,15,9,16,16,4,18
"10",14,13,15,16,17,9,14,5,14,3,16,14,20,3,4,3,19,3,7,13
"11",5,8,18,17,6,8,3,8,5,19,14,15,17,6,14,8,4,18,17,15
"12",7,19,8,18,3,4,16,13,18,14,4,17,16,13,6,18,14,14,5,17
"13",19,15,13,6,11,5,17,6,7,18,17,6,6,17,5,17,6,5,18,16
"14",13,10,9,14,10,2,10,18,20,8,9,9,15,2,18,20,1,4,19,2
"15",20,6,20,15,9,17,20,14,6,7,13,12,7,8,7,19,12,20,3,3
"16",8,3,14,9,7,19,18,9,19,16,12,3,18,20,17,7,8,6,2,9
"17",15,16,7,10,18,7,6,12,4,6,5,4,19,19,8,6,5,19,8,5
"18",4,7,6,8,5,3,15,15,8,4,18,18,8,18,13,4,18,9,15,4
"19",9,2,11,12,2,12,9,20,2,11,2,10,2,9,3,1,7,1,10,21
"20",12,4,12,20,15,14,13,7,10,1,3,8,11,21,20,15,17,17,20,19
"21",6,17,17,4,4,10,5,4,9,5,6,5,4,4,16,16,15,8,6,8
