"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",12,16,8,13,5,1,5,4,4
"2",8,9,2,7,9,19,20,5,6
"3",15,19,14,18,12,6,19,6,14
"4",2,3,12,5,11,10,4,3,17
"5",4,18,5,10,1,14,10,8,20
"6",13,2,7,14,17,16,16,15,18
"7",6,7,9,2,4,3,18,16,13
"8",19,12,6,6,20,4,11,2,11
"9",16,1,13,9,2,7,2,14,7
"10",10,5,20,15,3,12,14,1,10
"11",3,17,17,8,18,8,15,13,5
"12",11,20,3,3,13,11,3,18,9
"13",18,8,1,20,8,9,6,12,15
"14",5,4,4,17,14,5,12,10,2
"15",7,14,10,16,19,20,1,9,12
"16",17,15,18,4,6,18,13,11,16
"17",20,13,11,12,10,13,17,20,1
"18",14,6,16,1,16,15,8,7,3
"19",1,11,15,19,7,17,9,17,8
"20",9,10,19,11,15,2,7,19,19
