"","V1","V2","V3","V4"
"1",19,27,15,23
"2",4,2,9,21
"3",10,16,14,10
"4",2,17,21,25
"5",18,10,7,15
"6",26,9,24,2
"7",11,29,23,20
"8",8,23,11,28
"9",22,3,17,27
"10",9,5,28,14
"11",16,12,25,29
"12",6,11,19,17
"13",5,22,27,6
"14",21,24,26,16
"15",13,20,12,1
"16",25,28,8,8
"17",14,1,22,9
"18",28,6,13,19
"19",29,19,20,12
"20",24,15,29,22
"21",23,13,10,11
"22",20,4,2,5
"23",1,7,16,7
"24",12,8,4,24
"25",15,18,1,18
"26",7,14,6,3
"27",27,21,5,26
"28",3,26,3,13
"29",17,25,18,4
