"","V1","V2","V3","V4","V5","V6"
"1",8,11,26,16,11,27
"2",26,4,15,15,24,5
"3",3,26,10,8,18,12
"4",12,12,24,6,22,2
"5",6,20,22,13,25,21
"6",21,10,8,12,4,3
"7",23,13,1,25,14,11
"8",24,8,19,4,17,19
"9",22,24,17,23,23,24
"10",7,5,5,3,8,7
"11",5,18,18,24,5,4
"12",16,2,3,11,21,22
"13",19,3,23,21,2,13
"14",14,25,21,2,6,18
"15",20,19,6,5,15,26
"16",2,14,14,7,3,23
"17",18,16,12,1,27,10
"18",4,9,7,22,26,17
"19",11,23,2,14,1,16
"20",25,22,25,10,10,8
"21",1,7,20,18,16,9
"22",10,1,16,9,13,15
"23",9,21,4,20,20,6
"24",13,6,11,26,9,25
"25",27,17,9,19,7,20
"26",17,27,13,17,12,1
"27",15,15,27,27,19,14
