"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",8,5,2,4,17,17,14,7,4,11,7,5,11
"2",6,1,10,12,11,15,1,12,9,6,3,15,15
"3",5,4,4,15,3,5,13,5,11,4,6,9,2
"4",17,7,6,9,1,6,6,10,1,7,10,1,17
"5",1,10,7,10,13,7,10,14,16,17,1,2,8
"6",16,6,16,7,14,4,15,11,14,9,8,17,6
"7",9,15,17,16,2,10,12,16,3,12,5,11,10
"8",10,17,3,17,15,3,2,9,12,10,14,10,12
"9",14,3,13,14,7,13,9,2,15,15,12,6,13
"10",15,12,5,8,9,11,4,3,6,16,4,14,1
"11",2,8,14,11,16,9,7,1,2,2,13,12,7
"12",4,16,15,5,4,16,3,8,13,8,9,3,5
"13",7,2,11,3,8,2,5,15,5,14,15,8,4
"14",3,11,8,6,5,8,17,6,10,13,17,16,16
"15",12,14,12,2,10,1,11,4,8,3,2,7,14
"16",13,13,9,13,12,14,16,13,7,5,16,4,3
"17",11,9,1,1,6,12,8,17,17,1,11,13,9
