"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",7,18,17,10,15,18,15,13,7,5,1
"2",10,6,2,13,4,16,19,20,13,4,10
"3",9,17,1,11,16,9,1,1,15,11,17
"4",12,8,11,2,20,15,3,9,1,2,11
"5",20,5,16,8,17,12,12,12,12,20,20
"6",2,12,7,9,2,4,11,6,9,1,19
"7",6,20,5,16,5,13,7,10,3,19,12
"8",19,15,15,19,8,11,5,7,14,3,4
"9",1,9,8,18,18,14,10,16,20,12,5
"10",11,10,19,20,9,6,16,17,2,13,18
"11",17,2,6,17,12,19,13,4,6,8,15
"12",4,14,13,4,10,20,4,19,11,16,16
"13",16,19,9,3,6,8,17,14,19,7,14
"14",13,11,20,7,1,17,9,3,18,14,8
"15",18,13,3,6,14,2,8,18,5,9,7
"16",14,16,12,15,19,3,20,5,10,17,9
"17",8,7,4,1,11,5,14,8,16,18,3
"18",5,3,18,14,13,1,6,11,17,6,13
"19",3,4,14,5,7,10,18,2,4,10,6
"20",15,1,10,12,3,7,2,15,8,15,2
