"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",7,6,8,14,22,23,20,17,13,3,11,9,24,10,22,5,23
"2",25,13,14,16,25,13,10,19,9,20,3,5,12,25,2,18,25
"3",14,17,24,11,13,1,25,25,1,8,24,1,11,14,15,10,18
"4",19,2,10,25,23,16,8,24,20,11,22,19,2,13,12,9,8
"5",24,15,15,15,7,10,16,7,21,23,23,7,21,7,23,6,7
"6",22,25,13,19,5,21,18,15,8,4,15,21,6,19,25,20,13
"7",6,12,9,21,2,2,21,2,12,14,2,6,1,12,13,19,6
"8",1,14,11,10,15,25,13,8,11,1,25,25,13,8,1,17,3
"9",13,18,12,1,1,15,5,23,10,18,1,23,19,9,16,1,14
"10",10,24,22,18,19,11,6,10,17,5,10,4,5,5,4,3,12
"11",18,23,7,4,20,6,19,18,7,13,17,11,22,4,6,23,9
"12",16,9,1,22,12,20,1,13,3,19,12,2,14,1,19,13,1
"13",21,11,25,2,16,24,4,1,25,15,13,10,10,11,14,25,17
"14",2,8,19,3,17,8,11,16,6,17,16,13,4,22,24,4,5
"15",11,21,5,12,21,3,3,6,14,22,20,20,7,16,20,16,22
"16",8,1,23,17,18,14,17,9,2,25,8,22,20,15,11,24,11
"17",5,19,16,24,8,19,7,3,5,12,19,12,23,20,7,8,20
"18",9,3,6,5,4,12,9,11,19,7,21,3,18,24,17,21,15
"19",4,22,3,9,9,22,15,22,22,24,7,8,9,18,9,11,10
"20",3,16,18,23,11,7,12,20,23,10,6,18,15,3,21,22,21
"21",15,20,17,7,24,17,24,4,18,9,4,16,16,23,18,12,2
"22",17,10,2,20,14,5,22,12,24,16,14,24,17,21,3,2,16
"23",12,5,20,8,3,18,23,14,16,21,18,15,3,2,5,14,24
"24",20,7,21,13,6,4,2,21,15,2,9,14,25,17,8,15,4
"25",23,4,4,6,10,9,14,5,4,6,5,17,8,6,10,7,19
