"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",23,13,6,24,4,8,9,24,17,3,2,13,12,17,9,22
"2",14,25,25,17,6,14,4,18,20,8,13,25,2,11,25,13
"3",1,10,14,15,13,1,15,15,12,1,25,1,1,16,1,10
"4",17,20,12,20,3,9,19,6,8,19,17,20,7,23,5,5
"5",25,24,2,13,18,16,13,16,19,17,12,2,25,25,13,3
"6",22,8,21,14,23,17,5,9,4,12,3,22,17,15,2,7
"7",2,16,11,8,11,25,16,14,25,20,1,21,14,19,22,8
"8",5,7,3,16,16,15,21,17,10,24,11,24,9,5,8,24
"9",9,22,9,5,5,18,22,22,6,9,6,6,18,9,4,12
"10",21,9,4,4,7,5,23,8,14,13,23,23,20,14,21,17
"11",13,5,5,23,9,22,6,3,21,22,21,8,16,10,7,11
"12",19,11,17,1,14,10,7,25,9,25,15,4,15,7,24,6
"13",20,4,10,18,21,7,20,12,22,11,5,7,6,2,20,9
"14",3,19,8,19,22,11,8,10,5,10,20,9,19,18,23,23
"15",24,17,22,9,8,21,14,13,2,18,22,10,5,1,12,21
"16",7,6,15,12,1,19,1,7,13,15,7,3,8,24,19,20
"17",11,2,23,21,10,3,18,19,3,21,9,11,23,20,15,15
"18",15,12,24,6,17,13,24,2,24,7,14,5,13,21,6,25
"19",6,23,18,2,24,6,11,5,16,23,4,12,3,13,10,16
"20",4,1,19,7,2,12,12,11,18,4,16,16,24,3,11,4
"21",18,21,16,22,15,24,17,4,11,2,8,17,22,6,18,18
"22",10,15,1,10,12,2,3,1,1,6,10,14,10,8,16,1
"23",8,14,20,25,25,20,25,23,15,14,24,15,11,12,17,2
"24",12,18,13,11,19,4,2,21,23,16,19,19,21,4,3,19
"25",16,3,7,3,20,23,10,20,7,5,18,18,4,22,14,14
