"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",24,24,18,5,9,17,26,24,25,22
"2",4,18,8,4,2,4,15,12,27,14
"3",7,13,21,9,22,1,18,21,18,29
"4",21,28,2,16,20,7,2,20,23,16
"5",3,6,27,18,29,16,9,16,24,11
"6",15,29,26,13,6,14,11,8,4,27
"7",5,15,3,21,5,25,10,23,6,18
"8",14,19,11,20,26,26,22,5,26,26
"9",2,14,15,15,12,18,25,4,1,1
"10",16,1,9,14,13,23,17,29,29,10
"11",12,11,4,25,24,15,27,25,19,5
"12",6,27,23,7,19,24,28,13,13,9
"13",13,8,19,3,10,9,3,26,5,8
"14",8,4,5,6,18,19,4,6,11,23
"15",1,25,13,29,16,10,13,28,15,24
"16",26,7,10,17,14,3,29,17,8,25
"17",22,5,20,28,21,28,19,19,3,15
"18",10,22,12,10,7,29,6,18,21,3
"19",11,23,17,23,23,2,7,2,7,13
"20",28,17,25,12,25,21,8,27,10,21
"21",25,26,7,27,11,20,16,10,9,7
"22",17,21,6,2,28,11,23,15,2,19
"23",18,20,28,19,3,5,21,22,12,4
"24",19,10,16,24,1,22,1,14,17,28
"25",29,9,1,11,4,13,20,3,16,12
"26",9,3,24,26,8,8,24,9,22,20
"27",27,16,22,22,17,12,5,7,28,6
"28",20,12,29,1,15,27,14,1,20,17
"29",23,2,14,8,27,6,12,11,14,2
