"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",15,16,11,18,11,2,4,3
"2",5,5,10,5,12,18,16,19
"3",9,15,18,19,19,13,11,18
"4",12,8,20,11,7,19,1,6
"5",10,18,3,6,4,9,3,17
"6",19,19,19,7,14,7,15,9
"7",8,3,17,3,2,3,9,11
"8",6,9,1,20,6,6,14,8
"9",20,6,12,14,5,8,7,20
"10",1,2,7,16,13,11,2,12
"11",13,14,6,1,8,12,20,7
"12",17,12,8,17,1,17,17,13
"13",11,4,14,15,17,10,18,1
"14",16,10,15,2,16,16,5,14
"15",4,11,9,4,20,5,6,5
"16",14,7,5,10,18,1,13,16
"17",3,13,16,12,9,4,19,15
"18",7,20,4,13,15,20,8,10
"19",2,17,13,9,3,15,12,2
"20",18,1,2,8,10,14,10,4
