"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",7,22,6,6,23,9,8,25,5,26,26,14,7,11,4,18,11,11,7,22,20,11,20,5,7,7,9
"2",19,27,25,24,24,10,12,3,11,3,17,8,10,27,22,11,27,4,26,18,21,3,17,19,2,13,17
"3",22,13,9,5,4,13,7,26,26,4,9,6,26,25,17,17,21,24,21,24,13,24,7,13,5,9,7
"4",5,24,12,22,13,26,18,5,21,5,19,26,6,6,7,22,19,20,20,12,6,23,18,9,3,26,8
"5",9,20,10,9,18,11,25,10,22,20,24,5,22,5,23,6,26,13,18,26,4,8,5,7,23,20,22
"6",28,9,26,17,21,4,23,13,20,13,10,11,23,3,10,26,3,7,17,25,26,18,27,10,10,19,4
"7",16,2,28,1,15,29,1,16,29,29,1,17,15,15,1,15,29,1,29,16,1,15,16,1,14,17,16
"8",25,8,4,18,5,23,9,9,10,21,23,22,21,22,18,21,10,9,24,7,24,9,8,6,9,24,23
"9",1,14,17,2,2,2,29,1,28,12,27,15,14,16,13,14,13,14,2,2,29,16,1,28,1,15,15
"10",15,1,14,29,29,14,14,28,12,1,28,16,29,1,16,16,17,2,1,1,16,29,14,12,29,18,19
"11",29,16,2,15,28,3,15,12,15,14,15,29,18,20,2,28,28,28,3,13,2,2,3,14,17,1,14
"12",10,3,1,13,16,1,13,29,17,15,18,1,1,17,29,29,16,18,28,15,17,17,28,29,15,28,28
"13",14,10,8,7,22,21,24,22,24,8,20,24,12,24,12,8,7,5,23,6,10,6,25,21,26,10,6
"14",26,7,21,11,7,17,19,24,6,6,12,20,5,7,5,5,20,12,10,23,9,5,10,26,8,21,25
"15",27,4,23,20,20,25,26,18,18,22,22,3,9,18,27,4,14,21,4,11,11,21,13,4,6,4,12
"16",2,15,29,28,1,15,16,15,13,28,29,18,17,29,15,1,15,29,16,29,15,1,29,15,16,29,1
"17",8,26,22,8,9,7,22,20,8,19,5,27,20,26,25,20,18,8,9,8,7,25,26,11,12,12,24
"18",11,11,20,10,6,22,4,11,14,10,11,12,3,4,24,19,25,25,12,3,25,4,24,8,27,8,11
"19",23,23,19,21,10,5,6,21,23,24,21,21,24,8,8,7,23,19,22,9,23,19,23,24,21,5,20
"20",18,18,5,27,3,8,28,14,3,2,2,4,13,14,3,12,5,27,19,10,14,14,19,3,22,14,27
"21",6,6,7,26,11,20,21,7,16,25,8,10,11,23,6,23,22,6,11,27,22,22,11,23,25,6,18
"22",13,29,15,16,19,19,3,19,19,11,14,28,2,28,14,3,2,15,14,28,28,28,2,2,18,16,29
"23",4,5,13,23,26,18,10,8,25,18,3,23,25,9,21,13,6,26,8,21,12,10,22,20,4,11,26
"24",21,21,24,4,17,24,5,6,9,9,25,7,19,21,11,25,8,22,5,20,8,20,21,22,24,22,21
"25",12,28,11,12,27,27,17,17,4,17,4,2,28,19,9,9,24,17,13,4,27,13,12,25,11,27,3
"26",20,25,18,25,12,12,11,23,27,23,7,9,4,13,19,24,4,10,6,5,5,7,6,18,19,23,5
"27",17,17,3,14,8,16,2,2,1,16,16,13,16,2,28,2,1,3,15,14,3,27,15,27,13,2,2
"28",3,19,27,19,14,28,27,27,2,7,13,19,27,12,26,27,9,16,27,19,18,12,4,17,20,3,13
"29",24,12,16,3,25,6,20,4,7,27,6,25,8,10,20,10,12,23,25,17,19,26,9,16,28,25,10
