"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1",10,19,19,4,12,8,15,9,5,12,5,26,19,18,8,4,23,26,20,24,5,4,11,6,25,25
"2",24,12,3,22,11,25,6,7,20,10,26,25,14,23,7,10,9,24,21,5,19,7,23,24,12,23
"3",3,2,2,10,27,20,20,21,16,1,16,12,18,4,2,7,2,3,12,17,10,15,16,20,28,26
"4",1,13,15,1,1,14,2,15,18,9,28,15,13,2,16,28,29,29,1,29,14,29,29,15,16,15
"5",17,14,14,29,3,17,14,20,28,14,14,3,2,27,12,16,18,4,28,18,11,3,27,3,29,2
"6",11,3,10,25,26,22,4,19,6,19,10,27,10,6,5,19,17,18,26,19,18,27,5,4,7,14
"7",26,18,13,20,17,4,10,11,17,2,18,7,11,11,27,6,27,11,25,21,26,24,4,27,26,18
"8",16,29,16,2,16,29,1,29,15,15,20,16,29,29,15,1,15,15,17,16,1,17,1,29,1,1
"9",12,27,1,27,13,12,3,12,2,16,15,13,15,15,28,27,3,2,3,3,2,6,3,13,18,17
"10",19,21,23,9,24,26,7,3,9,3,17,5,22,13,6,21,19,16,4,9,25,11,22,5,21,6
"11",20,23,5,8,5,3,19,24,10,20,21,28,4,14,10,22,8,22,9,13,20,22,12,23,27,4
"12",13,4,26,16,4,9,5,27,27,8,8,21,24,21,17,9,10,8,5,10,23,23,10,7,20,21
"13",8,24,21,19,6,23,21,25,7,7,19,6,5,8,24,8,12,25,19,8,9,21,21,8,5,20
"14",28,1,29,14,29,13,16,28,1,29,29,14,1,16,13,2,28,14,16,1,17,1,15,16,17,16
"15",4,25,27,26,21,7,23,18,19,11,12,23,20,19,4,26,26,10,23,4,12,20,19,26,13,8
"16",14,11,18,28,15,2,18,17,13,28,11,2,28,3,14,15,16,28,2,14,28,2,17,28,2,28
"17",7,5,12,5,8,19,26,8,8,4,13,19,7,26,21,17,25,9,11,11,27,5,8,21,4,10
"18",25,7,7,24,10,27,25,14,14,24,4,20,21,12,23,5,24,17,7,12,4,25,26,14,23,7
"19",18,10,24,23,23,6,24,10,24,6,24,18,8,10,11,11,6,19,6,25,3,10,6,11,8,5
"20",6,16,25,18,9,18,12,5,4,26,22,22,26,5,22,12,5,5,27,27,21,13,18,19,19,3
"21",22,8,9,7,7,11,17,6,21,22,23,8,27,9,9,24,21,6,24,7,7,19,9,9,6,22
"22",29,28,11,3,18,15,29,16,29,13,1,17,17,1,18,13,1,21,29,2,29,14,14,1,15,13
"23",15,17,17,13,28,1,28,1,12,17,27,29,16,28,29,14,14,1,14,15,15,28,28,2,11,29
"24",27,15,28,17,2,28,27,13,11,18,2,1,12,20,1,29,7,13,15,28,16,16,2,18,14,27
"25",2,26,4,15,14,10,11,2,23,27,3,10,3,17,3,3,13,12,10,22,24,18,24,12,3,12
"26",9,9,20,11,25,16,9,4,22,25,9,4,9,25,19,18,4,27,18,6,6,26,13,25,24,11
"27",5,22,8,21,22,24,22,22,26,23,25,11,23,24,20,23,22,23,13,23,22,9,7,10,22,19
"28",23,20,22,6,19,21,8,23,25,21,7,24,6,7,25,20,20,7,8,20,8,8,20,22,10,24
"29",21,6,6,12,20,5,13,26,3,5,6,9,25,22,26,25,11,20,22,26,13,12,25,17,9,9
