"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",11,10,9,20,7,16,8,6,3,21,15,4,17,4,5,3,21,10,5,14,19,19
"2",22,13,10,1,23,22,11,12,13,12,10,22,10,22,1,1,2,11,1,10,10,22
"3",13,1,1,23,10,12,12,11,22,23,23,12,1,11,11,22,1,1,10,11,1,10
"4",17,6,15,14,18,20,15,20,8,15,21,7,20,18,17,15,18,5,18,5,6,20
"5",12,23,12,22,14,9,23,23,23,13,1,1,12,13,2,13,12,13,23,23,14,23
"6",3,14,22,8,3,1,21,13,2,10,18,3,15,14,13,12,3,16,2,9,2,15
"7",9,21,4,7,6,18,17,7,18,16,6,14,7,9,19,5,17,18,16,4,4,18
"8",23,22,2,12,2,23,2,22,10,1,22,11,13,12,14,10,13,23,11,13,23,9
"9",6,8,5,11,19,4,5,18,7,19,4,9,4,20,8,9,16,17,6,17,5,7
"10",1,12,13,21,1,13,1,8,12,9,2,23,23,23,12,23,23,12,13,1,11,11
"11",21,18,18,9,9,6,6,17,21,20,12,21,22,5,20,14,14,8,4,21,7,13
"12",15,3,21,10,12,19,7,3,15,7,7,8,21,8,3,11,5,21,22,15,3,8
"13",16,4,20,19,11,14,19,21,9,14,5,19,8,3,15,7,9,15,3,2,17,3
"14",2,2,11,2,13,15,9,15,1,2,13,13,2,1,22,20,11,14,15,22,12,21
"15",5,20,17,17,20,21,20,9,14,4,19,15,9,7,6,17,19,9,7,18,8,4
"16",10,7,19,5,5,5,10,19,19,5,17,16,3,16,4,6,20,7,20,8,18,12
"17",14,11,23,3,22,11,14,10,16,22,11,2,11,15,23,21,22,22,12,12,22,1
"18",18,19,16,16,17,3,4,5,4,17,16,17,6,10,7,19,7,20,17,6,15,17
"19",20,9,3,4,15,2,22,1,11,3,3,10,16,6,10,16,15,2,9,7,16,14
"20",19,16,14,18,4,10,13,2,6,6,9,5,5,21,21,4,10,3,14,20,9,6
"21",7,5,8,15,16,8,16,4,20,8,20,20,18,19,18,8,8,19,8,19,20,16
"22",8,17,7,6,8,17,18,16,5,18,8,18,19,17,9,18,4,6,19,16,21,5
"23",4,15,6,13,21,7,3,14,17,11,14,6,14,2,16,2,6,4,21,3,13,2
