"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",8,26,9,12,18,4,26,17,24,26,19,5,17,7,4,5,26,11,11,18,4,19,11,26,17
"2",12,21,13,10,27,25,2,2,25,13,3,18,8,10,16,18,27,2,25,16,22,14,2,16,26
"3",23,11,4,11,10,13,17,3,20,25,13,20,25,26,24,21,5,10,7,24,16,5,7,25,21
"4",20,22,24,23,19,24,20,25,13,17,8,24,22,25,9,23,22,9,10,5,8,23,10,5,18
"5",14,28,15,13,2,15,28,15,1,28,15,14,14,15,13,28,1,27,28,15,28,28,14,1,28
"6",1,13,16,27,26,10,12,27,3,19,2,2,28,16,15,13,14,14,1,27,18,17,26,18,27
"7",13,2,2,26,16,19,18,1,16,16,28,12,2,27,2,2,17,13,17,11,14,13,27,2,25
"8",19,23,23,8,22,9,4,10,19,20,25,4,5,21,25,10,6,12,8,3,23,26,16,12,12
"9",25,17,11,3,21,17,13,11,17,2,10,6,26,17,6,3,10,18,26,25,12,20,4,4,3
"10",11,12,1,1,13,18,14,28,14,15,1,28,12,1,27,1,15,26,16,1,17,27,12,27,14
"11",16,14,26,2,14,2,16,26,26,14,27,15,27,2,7,27,11,3,27,10,15,2,25,14,15
"12",21,6,8,6,8,8,3,20,6,7,22,22,18,18,19,12,24,8,20,21,5,25,20,11,24
"13",6,24,6,24,4,20,9,6,12,12,18,8,24,9,21,20,7,6,21,7,10,21,22,21,6
"14",10,5,7,21,5,6,5,21,22,22,9,7,20,19,11,17,21,20,18,4,25,7,6,8,8
"15",2,3,14,16,15,26,27,19,27,1,17,26,19,20,17,8,3,4,3,13,27,16,15,13,2
"16",27,15,27,28,3,1,11,13,4,27,16,27,1,13,14,4,16,1,14,14,13,15,1,17,1
"17",9,7,22,5,6,16,23,9,8,10,6,3,10,6,12,11,8,7,5,8,6,8,5,9,23
"18",26,27,3,17,17,14,22,24,10,9,11,11,3,3,22,16,18,5,12,26,26,3,19,7,9
"19",18,4,18,20,24,7,24,5,21,23,4,23,11,4,18,19,9,21,19,20,7,22,23,10,7
"20",24,9,17,25,7,23,8,18,23,8,24,10,7,5,5,22,12,22,6,22,20,24,9,19,19
"21",3,19,5,18,25,3,10,14,15,3,26,19,13,14,26,26,13,25,2,12,3,10,3,3,16
"22",5,20,19,7,12,22,7,4,9,24,21,25,21,8,8,9,20,23,9,23,19,6,21,6,11
"23",22,10,25,22,23,12,25,7,11,4,20,13,23,11,20,7,23,24,22,6,24,9,13,24,22
"24",7,25,21,19,11,11,6,23,18,6,7,21,4,24,10,6,4,19,24,17,9,4,18,23,20
"25",17,18,10,9,9,5,19,8,7,5,5,17,9,22,3,25,25,17,4,9,21,18,24,22,4
"26",15,16,28,15,1,28,15,12,28,11,12,1,16,28,28,14,28,28,15,28,1,12,28,15,13
"27",4,8,20,4,20,21,21,22,5,21,23,9,6,23,23,24,19,16,23,19,11,11,8,20,5
"28",28,1,12,14,28,27,1,16,2,18,14,16,15,12,1,15,2,15,13,2,2,1,17,28,10
