"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",21,9,13,23,11,19,9,7,28,5,27,1,11,19,12,2
"2",18,19,22,17,5,2,20,30,20,2,3,14,3,15,3,10
"3",12,18,16,1,21,27,2,15,11,6,5,5,18,2,9,6
"4",2,8,11,5,12,6,12,28,16,25,12,29,13,8,18,1
"5",8,30,27,24,18,21,25,20,5,23,16,22,8,13,7,3
"6",9,4,3,14,17,3,5,19,6,3,19,9,7,24,23,20
"7",27,13,5,28,23,8,27,25,23,22,15,4,17,18,24,7
"8",4,24,20,18,26,24,11,29,8,20,29,3,25,20,17,18
"9",10,28,18,29,9,12,8,17,25,8,7,28,29,22,21,12
"10",29,25,12,15,19,28,30,3,17,1,20,30,19,11,19,19
"11",24,10,19,2,8,11,26,16,10,19,28,27,5,21,10,27
"12",14,22,9,7,2,18,23,24,13,9,25,19,22,28,29,5
"13",3,11,26,3,27,20,19,13,27,4,17,16,23,14,25,30
"14",1,21,10,26,22,14,21,9,15,13,8,10,1,29,8,28
"15",13,26,25,6,14,7,14,2,24,24,21,6,16,26,2,22
"16",11,1,17,30,6,26,17,1,12,18,23,13,4,9,26,11
"17",20,15,2,11,10,29,18,11,1,27,14,12,30,23,4,9
"18",25,5,24,19,25,5,16,4,9,11,9,23,24,27,15,4
"19",26,29,4,9,7,23,15,21,26,12,11,8,6,5,16,25
"20",7,17,1,20,16,1,24,12,30,16,30,20,26,1,11,15
"21",6,14,29,12,3,10,28,8,2,10,10,2,14,7,20,17
"22",5,6,6,16,4,22,6,5,21,21,4,24,20,17,6,21
"23",15,3,15,10,30,25,29,22,29,29,6,18,9,25,13,16
"24",16,12,8,27,29,16,13,26,3,7,22,26,15,6,1,24
"25",30,2,28,8,20,13,7,23,18,14,24,11,28,10,5,13
"26",19,7,21,22,15,17,22,18,14,26,1,7,27,3,30,26
"27",17,20,23,13,24,15,4,10,22,28,26,25,2,4,22,8
"28",28,23,14,25,1,4,3,14,7,30,18,15,21,12,14,29
"29",22,27,7,4,28,9,10,6,4,17,2,17,10,16,28,14
"30",23,16,30,21,13,30,1,27,19,15,13,21,12,30,27,23
