"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",14,5,4,10,27,3,26,9,26,20,5,22,16,18,18,24,12,13,20,3,24,19,13,4,5
"2",16,3,2,6,11,26,2,28,4,9,26,26,18,21,11,15,9,19,13,14,27,4,18,18,9
"3",2,1,15,28,5,14,16,13,1,8,9,20,12,28,28,28,28,20,28,16,14,12,14,9,22
"4",19,2,10,5,9,15,19,11,25,10,22,8,26,7,12,14,3,8,26,27,9,27,4,12,20
"5",3,25,1,18,14,28,28,15,15,15,1,9,17,19,10,18,11,28,7,12,1,17,1,20,28
"6",27,23,14,24,12,7,14,18,28,21,3,1,27,27,6,12,27,2,14,17,26,10,16,17,12
"7",6,17,27,21,19,23,20,26,18,17,13,18,25,13,5,3,5,22,24,23,19,8,12,6,2
"8",20,26,22,26,24,6,27,16,5,6,24,27,21,9,17,9,15,15,21,15,2,20,27,19,11
"9",11,8,21,15,21,20,8,3,7,2,4,4,24,6,21,20,19,24,15,26,25,21,10,21,13
"10",13,6,18,16,10,16,25,2,13,1,17,12,22,24,1,7,20,11,4,2,6,1,22,3,16
"11",21,21,5,3,3,9,23,4,12,24,19,14,15,17,25,2,21,25,18,21,16,6,7,27,10
"12",9,7,24,19,7,21,21,19,21,22,25,25,10,14,19,8,23,4,10,9,23,22,5,23,21
"13",10,22,12,4,15,13,22,25,8,16,23,3,4,11,7,26,25,23,17,7,21,28,24,7,17
"14",1,16,16,1,28,22,3,10,24,5,10,7,13,16,14,1,14,1,19,6,15,11,28,28,19
"15",22,24,6,12,26,17,18,23,10,3,12,16,9,26,23,6,7,7,5,25,22,23,15,10,24
"16",8,12,9,7,8,1,9,27,19,14,2,23,19,3,20,4,24,16,2,22,5,14,25,13,18
"17",5,19,17,8,23,8,13,6,3,25,20,21,20,4,4,22,6,3,3,13,18,9,9,16,23
"18",28,13,28,17,16,2,15,21,23,4,28,5,14,15,27,25,1,26,1,8,12,7,11,14,14
"19",23,11,7,20,22,18,17,24,9,12,8,15,8,2,9,23,22,5,23,5,7,5,6,24,8
"20",26,20,25,2,17,19,4,7,20,11,14,24,11,20,8,19,26,17,9,18,4,24,8,2,7
"21",25,15,3,27,18,24,5,12,16,27,21,13,28,1,26,13,18,18,12,1,17,18,20,5,25
"22",15,27,23,14,1,4,1,17,14,13,11,11,1,5,15,11,13,14,27,11,28,3,2,1,26
"23",24,9,26,9,2,25,24,14,2,26,6,6,7,10,16,16,10,6,8,19,13,13,26,8,6
"24",12,28,13,22,13,27,11,1,27,19,16,28,2,12,22,27,8,9,16,28,8,2,21,15,15
"25",7,18,19,11,6,12,6,22,11,23,15,10,23,25,24,21,4,10,22,4,3,25,17,22,4
"26",4,10,8,23,20,5,7,8,6,18,27,2,3,23,13,5,16,12,11,20,10,16,3,11,1
"27",17,14,11,25,4,11,12,5,17,7,7,19,5,8,3,10,2,21,6,10,20,26,19,26,3
"28",18,4,20,13,25,10,10,20,22,28,18,17,6,22,2,17,17,27,25,24,11,15,23,25,27
