"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",7,13,3,14,20,12,27,2,22,6,28,13,7,10,28,17,12,28,9,12,13,27,26,10,11,21,1
"2",18,15,5,5,10,3,22,22,15,7,3,18,25,7,26,18,25,13,27,18,6,4,12,17,12,26,27
"3",15,28,1,3,28,16,1,15,9,8,11,2,16,27,21,1,17,19,1,14,3,15,17,1,28,15,15
"4",21,8,12,11,4,7,6,5,4,26,25,9,24,16,17,10,22,9,7,23,10,18,21,26,18,24,7
"5",28,1,7,26,13,18,7,8,11,9,1,27,12,3,13,3,2,17,16,1,19,19,15,20,14,27,9
"6",14,11,25,13,15,17,19,21,26,16,9,26,11,24,3,5,19,25,18,26,4,3,23,22,22,22,3
"7",10,14,16,25,11,11,18,6,3,3,26,12,26,22,4,6,14,22,28,4,16,7,8,3,19,10,24
"8",5,26,23,6,23,4,8,10,7,10,16,22,21,18,6,23,6,16,24,15,11,24,4,21,8,18,4
"9",3,12,11,15,27,27,17,13,14,28,18,14,1,5,9,11,1,14,2,17,2,1,1,28,15,14,28
"10",19,17,15,27,19,8,16,17,28,18,21,28,27,23,19,28,10,2,3,2,1,11,16,13,2,16,10
"11",9,10,24,9,17,20,4,27,10,5,23,20,14,13,24,21,11,6,11,6,25,8,25,24,26,17,25
"12",6,7,8,21,16,24,11,26,6,19,2,23,23,17,15,24,18,27,5,27,12,26,13,7,17,5,20
"13",22,6,21,8,8,23,12,24,18,21,20,8,9,19,23,12,4,21,23,7,5,21,7,5,6,23,18
"14",11,4,17,17,5,25,15,11,25,1,12,4,17,2,18,27,21,7,20,11,7,17,2,16,27,8,2
"15",13,3,27,4,25,9,5,1,27,25,8,16,20,8,16,9,24,24,13,10,23,12,11,14,4,9,22
"16",24,23,9,7,18,22,23,4,17,23,6,10,19,14,5,22,16,11,8,5,24,5,6,6,23,20,6
"17",1,20,28,28,1,28,28,12,12,27,15,19,18,28,20,15,28,15,17,13,28,20,19,12,16,28,16
"18",17,22,2,20,9,26,9,9,24,12,19,5,22,11,12,19,8,23,22,28,27,9,22,25,3,13,17
"19",25,27,19,19,14,1,14,19,1,20,14,3,2,1,2,26,20,26,12,8,14,16,28,15,13,19,26
"20",20,2,14,2,2,14,20,16,2,2,13,17,3,25,14,25,5,18,10,19,22,2,18,11,5,2,8
"21",27,18,26,22,22,19,24,3,5,11,5,6,8,21,27,16,13,4,15,25,8,14,10,23,10,6,21
"22",26,9,6,24,24,13,2,20,23,17,27,15,4,26,7,20,26,12,26,16,21,23,9,18,25,11,14
"23",16,5,20,16,26,6,26,23,13,13,10,7,28,6,8,13,3,3,19,21,26,22,24,2,20,12,12
"24",8,19,4,10,3,2,10,7,19,24,4,21,6,20,11,14,7,5,21,9,9,13,27,9,21,4,19
"25",2,16,10,1,12,15,21,28,16,14,17,1,13,15,1,2,27,1,14,3,15,28,14,27,1,1,13
"26",4,21,22,23,6,10,3,25,21,4,7,11,5,12,10,8,15,10,4,24,17,10,5,8,9,25,11
"27",23,24,18,12,7,5,25,14,20,15,22,24,15,9,22,4,9,20,6,22,20,25,3,19,24,3,23
"28",12,25,13,18,21,21,13,18,8,22,24,25,10,4,25,7,23,8,25,20,18,6,20,4,7,7,5
