"","V1","V2","V3","V4","V5"
"1",28,25,15,12,11
"2",25,2,13,26,18
"3",4,26,12,3,15
"4",20,15,10,18,16
"5",3,17,26,14,17
"6",11,8,27,23,21
"7",17,28,5,15,22
"8",8,22,9,27,24
"9",22,24,21,21,27
"10",23,18,6,22,3
"11",14,11,1,24,14
"12",10,23,2,7,6
"13",7,12,22,4,2
"14",26,13,3,5,25
"15",6,6,16,17,26
"16",16,5,11,13,1
"17",24,21,28,8,13
"18",15,19,18,1,19
"19",27,9,19,16,5
"20",13,27,25,19,4
"21",12,16,14,9,28
"22",18,14,23,28,9
"23",2,20,17,25,7
"24",1,10,7,11,20
"25",9,1,20,10,12
"26",19,4,24,6,23
"27",5,3,4,20,10
"28",21,7,8,2,8
