"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1",3,18,20,14,17,9,25,7,13,21,7,26,7,5,2,12,16,17,2,25,2,27,20,5,19,10
"2",6,9,24,6,9,25,7,5,7,3,6,18,25,10,17,9,22,19,19,21,20,9,23,13,9,25
"3",23,16,7,17,23,23,4,4,26,24,13,10,8,12,3,8,3,18,22,8,19,12,26,25,12,7
"4",4,4,17,27,10,3,17,13,25,18,16,7,14,6,27,2,21,14,16,2,10,2,22,27,21,20
"5",13,8,8,3,26,5,20,12,17,2,27,17,2,18,10,7,9,21,25,10,11,22,13,9,26,26
"6",22,22,11,23,22,6,5,24,6,7,15,23,23,7,7,4,25,22,9,12,9,19,8,21,8,17
"7",25,13,10,16,20,27,24,16,14,1,25,4,20,1,25,19,15,24,21,27,1,5,17,15,14,2
"8",27,27,22,11,13,17,28,28,12,17,1,3,18,27,12,3,24,15,28,11,15,15,27,10,27,15
"9",24,21,21,24,24,14,21,10,10,6,12,24,5,21,21,23,12,7,13,3,22,4,25,6,7,18
"10",28,28,28,19,2,2,10,1,15,15,8,16,10,15,28,17,1,28,14,28,12,16,10,17,17,28
"11",19,14,3,15,3,18,26,8,11,26,26,21,27,8,6,16,18,3,12,9,24,7,11,18,24,27
"12",14,2,12,20,27,21,3,26,22,25,4,25,19,26,15,18,8,16,6,22,8,3,14,11,20,23
"13",21,11,16,5,7,12,15,25,8,4,3,9,4,11,16,11,5,6,3,7,3,6,3,22,18,8
"14",1,26,2,4,28,24,11,14,3,14,10,14,16,3,23,28,11,10,8,13,17,24,16,28,28,16
"15",12,12,25,28,16,28,14,15,1,16,19,1,13,28,1,14,14,27,1,1,28,20,1,14,15,21
"16",20,17,18,7,11,8,23,23,23,20,24,8,26,20,18,22,7,20,5,17,21,26,21,24,6,22
"17",9,6,23,25,4,22,27,27,21,11,14,20,3,4,8,25,10,12,27,19,16,18,9,23,10,12
"18",7,19,15,26,8,7,6,9,4,12,23,11,24,24,5,24,4,9,26,16,6,10,18,12,23,6
"19",5,24,26,13,21,20,12,22,27,22,28,19,28,16,26,10,13,5,18,5,7,17,6,8,11,9
"20",10,7,1,18,12,10,22,3,28,10,2,13,22,17,13,27,27,23,7,4,18,14,7,7,16,3
"21",2,20,6,12,18,4,13,20,24,5,5,5,11,22,4,15,17,2,20,26,25,8,12,20,5,19
"22",15,23,14,8,14,16,1,2,19,19,21,2,1,2,14,26,26,13,15,14,5,11,2,2,1,24
"23",17,3,9,21,15,11,19,11,5,23,9,6,21,9,22,5,6,8,23,23,23,23,5,3,4,14
"24",16,1,27,1,25,1,18,18,2,28,20,15,12,14,9,21,28,1,11,20,13,13,28,16,13,4
"25",18,15,4,22,5,26,8,21,20,8,22,12,6,19,20,6,23,4,4,24,14,21,24,4,22,13
"26",8,25,13,2,1,19,16,17,16,13,17,28,15,13,11,1,2,26,10,15,27,1,15,1,2,1
"27",26,5,19,9,19,13,2,6,18,9,18,27,17,23,19,13,19,11,17,18,26,28,4,26,25,5
"28",11,10,5,10,6,15,9,19,9,27,11,22,9,25,24,20,20,25,24,6,4,25,19,19,3,11
