"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",6,24,10,13,7,23,24,14,25,4,22,17,23,22,20,20,24,15,4,7,4
"2",15,20,9,1,14,9,27,12,21,19,14,5,1,27,28,1,10,26,22,11,14
"3",28,28,21,15,12,16,17,9,12,28,23,3,14,24,1,25,12,12,14,28,1
"4",18,4,12,24,21,21,25,4,2,21,13,9,25,19,9,19,25,21,25,22,15
"5",10,18,15,20,16,27,26,24,23,15,9,7,19,7,5,3,11,6,8,26,27
"6",26,17,8,28,26,7,15,26,9,6,1,16,21,28,14,28,17,2,12,13,13
"7",4,9,4,5,10,22,18,3,14,12,4,10,7,3,24,27,14,5,18,20,8
"8",20,22,6,23,17,18,10,6,20,10,20,21,5,4,8,23,5,25,2,16,20
"9",19,3,25,2,4,19,9,20,15,17,19,8,26,20,15,8,3,1,1,17,12
"10",21,25,27,4,20,2,19,19,8,9,11,11,3,12,21,15,27,14,5,24,22
"11",23,11,3,16,19,3,20,17,17,11,25,12,28,11,3,6,6,13,28,2,9
"12",1,14,13,27,1,1,13,27,28,26,17,15,4,15,12,16,1,16,19,23,5
"13",17,15,17,9,2,8,28,1,1,14,27,22,8,17,13,18,13,3,11,1,28
"14",12,5,5,7,5,5,8,10,19,8,7,19,17,23,2,10,20,20,15,27,26
"15",11,27,23,18,3,17,23,18,6,7,2,26,12,9,10,7,15,27,27,15,7
"16",7,1,2,17,23,15,22,16,11,27,6,28,11,21,19,13,2,11,3,9,21
"17",25,8,22,8,25,26,14,7,27,22,5,18,6,13,11,5,19,18,10,6,6
"18",13,7,24,12,15,6,21,25,22,23,24,25,24,5,25,26,18,24,13,18,18
"19",14,16,1,14,28,28,1,28,13,13,28,1,9,16,16,11,28,28,16,19,11
"20",24,21,11,10,6,24,7,23,7,24,8,13,18,10,23,22,7,19,21,5,25
"21",27,2,18,26,8,14,16,15,26,1,18,2,10,1,18,12,21,10,23,10,24
"22",8,6,16,6,22,10,6,22,4,3,15,6,13,6,6,21,9,22,9,8,2
"23",22,13,7,21,9,11,3,13,3,20,16,24,15,8,27,2,23,8,6,21,3
"24",5,23,20,25,11,4,2,2,16,18,3,4,27,14,17,14,16,23,7,3,17
"25",3,26,14,3,27,13,11,11,10,25,21,20,22,2,7,9,22,4,20,12,19
"26",16,19,19,11,24,12,4,5,24,2,10,27,20,18,22,17,4,9,26,25,10
"27",9,12,26,19,13,20,5,21,18,16,12,23,2,25,4,24,26,7,24,4,16
"28",2,10,28,22,18,25,12,8,5,5,26,14,16,26,26,4,8,17,17,14,23
