"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",2,21,21,18,2,2,24,10,21,13,7,10,11,6,15,12,10,19,19,2,17
"2",10,14,7,3,6,7,14,22,14,20,15,23,7,21,17,8,3,22,15,20,22
"3",5,17,4,20,8,5,8,4,17,6,20,18,20,16,21,16,6,6,6,13,8
"4",20,4,19,16,21,3,10,16,5,2,6,14,16,19,20,14,13,20,2,21,16
"5",9,20,12,24,14,23,9,24,13,3,16,4,9,3,19,18,19,15,23,22,12
"6",18,19,6,7,4,18,4,11,4,7,5,15,5,7,10,21,4,21,10,7,9
"7",14,22,15,10,23,9,21,21,8,4,18,5,19,23,9,10,2,10,13,3,6
"8",8,3,5,17,19,16,20,20,19,18,13,16,22,12,16,22,22,23,12,5,5
"9",4,15,23,19,18,17,7,19,3,16,8,19,3,14,8,6,9,5,18,18,7
"10",21,18,16,21,16,6,18,12,9,19,21,21,4,8,4,17,20,11,4,8,21
"11",17,6,18,2,15,8,6,8,15,5,12,22,10,4,18,7,21,4,16,4,4
"12",1,8,1,9,12,1,13,14,2,12,23,9,12,2,1,2,15,17,9,16,2
"13",6,5,20,5,3,22,17,6,6,9,17,20,18,20,5,19,16,14,20,11,15
"14",7,9,17,4,17,10,5,17,18,21,4,3,21,5,6,20,5,12,7,14,19
"15",12,12,3,6,20,4,23,3,10,10,3,2,1,15,14,23,18,7,17,19,13
"16",13,23,13,1,1,15,12,13,24,17,10,12,14,18,7,15,24,2,1,24,1
"17",15,11,11,12,10,13,2,15,1,24,24,11,13,17,23,24,11,1,24,1,20
"18",24,13,2,13,9,14,15,23,22,1,2,17,17,10,3,3,14,8,21,9,18
"19",3,10,8,15,22,20,3,9,23,8,14,8,6,22,12,5,17,13,3,6,23
"20",11,24,14,11,24,24,16,1,11,23,1,24,15,9,24,1,12,16,8,12,11
"21",23,16,24,14,5,11,1,5,12,15,19,1,24,13,11,4,23,24,14,17,14
"22",19,1,10,23,13,12,11,2,16,22,9,6,8,24,2,13,7,18,22,10,3
"23",16,7,9,22,11,21,22,7,7,14,11,13,23,1,13,9,1,3,11,23,24
"24",22,2,22,8,7,19,19,18,20,11,22,7,2,11,22,11,8,9,5,15,10
