"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",21,7,3,10,7,17,4,10,15,2
"2",12,24,1,9,12,24,15,14,8,23
"3",4,3,5,14,17,21,21,8,21,15
"4",5,18,4,11,1,2,14,23,13,10
"5",10,16,11,21,3,20,5,5,19,21
"6",6,15,22,12,19,4,22,11,4,20
"7",8,8,10,2,22,18,17,22,5,11
"8",15,9,7,5,4,10,24,18,18,19
"9",16,17,23,4,16,22,2,17,12,8
"10",18,10,21,16,11,14,10,24,22,24
"11",9,5,24,24,13,11,16,1,14,9
"12",24,1,20,13,2,19,13,12,2,12
"13",3,6,16,19,6,8,3,16,7,18
"14",17,21,14,15,5,7,20,6,6,3
"15",19,4,12,3,15,1,11,7,9,22
"16",13,12,18,22,9,23,23,21,10,5
"17",1,13,8,6,10,13,9,2,1,6
"18",22,19,17,7,21,15,19,3,16,17
"19",20,20,6,23,18,12,7,20,3,16
"20",11,2,15,8,20,6,6,19,20,4
"21",2,23,13,18,24,16,12,13,17,1
"22",7,22,19,1,8,9,8,9,23,14
"23",23,14,9,20,14,3,18,15,24,7
"24",14,11,2,17,23,5,1,4,11,13
