"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",15,9,4,24,13,1,17,16
"2",24,24,16,10,12,14,15,1
"3",10,16,23,16,8,23,18,6
"4",6,23,10,17,19,6,5,15
"5",22,13,22,18,23,5,20,12
"6",4,18,5,9,10,20,21,20
"7",18,17,6,21,16,12,2,4
"8",8,5,19,22,21,15,11,21
"9",7,10,12,20,2,9,22,2
"10",3,6,7,7,22,8,16,5
"11",16,19,21,13,3,7,7,22
"12",9,12,8,1,1,16,1,13
"13",11,3,1,15,7,10,12,24
"14",14,8,20,3,18,19,6,3
"15",23,7,13,19,9,21,4,18
"16",5,2,17,11,11,2,3,8
"17",12,21,14,2,17,3,23,19
"18",20,11,11,8,20,24,14,23
"19",13,20,2,12,24,22,8,11
"20",17,1,9,14,15,17,24,9
"21",2,22,15,23,5,18,13,10
"22",21,15,3,5,6,4,10,7
"23",19,4,18,4,4,13,19,14
"24",1,14,24,6,14,11,9,17
