"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,1,3,2,2,3,3,2,2,3,1
"2",1,3,2,1,2,3,3,1,2,2,3
"3",1,2,3,3,3,1,2,2,1,2,3
"4",1,2,1,1,1,3,2,2,1,1,1
"5",1,1,1,2,2,2,1,3,1,2,2
"6",3,3,3,2,2,1,1,2,3,1,2
"7",2,2,1,3,3,3,3,1,2,3,2
"8",2,1,3,2,3,3,1,1,1,2,3
"9",1,2,2,1,2,1,2,1,3,3,2
"10",2,1,3,3,2,2,2,1,3,1,1
"11",3,2,3,1,1,2,1,1,2,2,1
"12",3,3,2,3,2,1,3,1,1,2,1
"13",2,3,1,3,2,1,2,3,2,1,3
"14",2,2,1,2,1,1,3,3,3,2,1
"15",3,3,2,2,3,3,2,3,3,3,1
"16",2,2,2,3,3,2,1,2,1,3,1
"17",1,3,3,3,1,2,2,3,2,3,2
"18",1,2,2,3,3,3,1,3,3,1,2
"19",3,2,3,2,2,3,3,3,1,1,3
"20",3,1,2,1,3,1,2,3,2,2,1
"21",2,2,1,1,2,2,1,3,3,3,3
"22",3,1,1,1,3,2,3,2,2,1,2
"23",1,1,2,2,1,2,3,1,3,1,3
"24",3,1,1,3,1,3,2,2,3,2,2
"25",2,3,2,1,1,3,1,2,1,1,2
"26",3,3,1,2,1,2,2,1,1,3,3
"27",2,3,3,1,3,2,3,2,3,2,3
"28",1,3,1,2,3,1,1,1,2,1,1
"29",2,1,3,1,1,1,3,3,1,3,2
"30",3,1,2,3,1,1,1,2,2,3,3
