"","V1","V2","V3","V4","V5"
"1",3,2,2,1,3
"2",3,3,2,3,3
"3",2,3,1,2,1
"4",2,1,1,1,2
"5",3,3,3,2,1
"6",1,3,2,1,1
"7",2,3,3,3,2
"8",2,1,2,3,1
"9",1,3,2,3,1
"10",1,1,2,2,3
"11",2,2,1,3,3
"12",2,2,3,1,1
"13",3,2,3,3,2
"14",1,1,2,3,2
"15",3,1,1,2,3
"16",2,3,2,1,3
"17",2,3,3,2,3
"18",1,2,1,3,1
"19",3,1,2,1,1
"20",2,2,2,2,2
"21",2,1,3,1,3
"22",1,2,3,3,3
"23",3,1,1,3,2
"24",1,2,3,1,2
"25",1,3,1,2,2
"26",1,2,1,1,3
"27",3,2,1,2,1
"28",3,1,3,2,2
"29",1,1,3,2,1
"30",3,3,1,1,2
