"","V1","V2","V3","V4","V5"
"1",17,8,18,26,19
"2",1,15,15,2,18
"3",24,16,6,25,11
"4",21,14,24,19,22
"5",16,17,26,12,6
"6",5,24,8,14,20
"7",6,19,19,5,2
"8",3,21,23,24,14
"9",7,4,21,16,24
"10",11,25,20,17,9
"11",22,5,3,13,15
"12",12,22,4,4,23
"13",10,9,25,8,16
"14",19,23,10,21,5
"15",14,11,9,1,10
"16",4,1,12,11,12
"17",18,3,7,6,21
"18",9,12,11,22,26
"19",25,20,17,10,25
"20",2,7,5,20,7
"21",23,6,22,3,8
"22",13,2,16,23,3
"23",8,13,2,9,4
"24",26,10,13,15,1
"25",20,26,14,7,13
"26",15,18,1,18,17
