"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",4,11,14,9,11,19,19,11,14,25,23,24,20,4,5,5,7,24,6
"2",25,18,13,26,25,18,10,13,12,14,2,22,21,8,1,26,18,15,23
"3",26,15,10,10,10,1,17,17,13,15,26,1,13,26,26,13,16,26,26
"4",1,3,4,15,23,9,13,20,16,8,12,6,23,3,19,3,20,17,19
"5",23,25,2,8,18,11,20,23,3,17,7,16,12,2,10,9,5,3,14
"6",16,2,24,3,5,22,12,14,11,24,4,3,8,5,20,18,10,9,16
"7",15,10,26,23,17,3,21,6,2,7,3,25,16,16,21,7,13,20,12
"8",24,4,16,19,21,17,5,18,17,18,14,19,5,24,23,4,4,14,4
"9",7,14,9,11,8,16,2,12,26,2,1,12,22,14,25,8,1,1,13
"10",3,12,12,6,22,15,26,5,5,16,15,10,6,11,24,24,23,7,5
"11",22,6,20,17,9,14,25,21,23,4,6,11,10,9,3,15,24,22,8
"12",12,1,5,2,13,10,11,4,8,3,18,20,9,21,2,16,2,16,20
"13",20,22,18,5,20,6,4,8,22,9,19,7,17,6,16,22,6,21,10
"14",17,16,23,1,26,20,14,24,9,1,25,14,25,18,13,11,17,10,2
"15",8,21,17,21,4,13,24,22,7,22,16,13,24,20,18,23,3,19,18
"16",18,5,1,13,1,2,15,1,19,19,9,17,26,12,12,25,14,12,1
"17",21,8,19,16,7,12,3,7,4,20,22,9,19,15,9,2,22,5,21
"18",2,23,25,7,6,8,7,19,15,13,11,23,15,25,6,19,19,4,9
"19",9,26,21,20,12,23,16,2,18,5,20,18,11,1,22,14,15,6,24
"20",11,24,3,18,15,21,6,3,10,23,5,5,14,22,14,12,25,23,7
"21",5,9,15,12,16,26,1,26,1,10,10,15,1,13,11,21,12,25,25
"22",6,17,22,14,24,4,18,9,24,21,8,8,4,19,4,10,8,11,22
"23",19,20,7,4,3,24,23,10,21,12,13,21,2,17,15,1,21,18,17
"24",13,13,8,22,14,5,8,25,25,26,24,26,7,10,17,17,26,8,15
"25",10,19,11,25,2,7,9,16,6,6,17,2,3,7,7,6,11,13,3
"26",14,7,6,24,19,25,22,15,20,11,21,4,18,23,8,20,9,2,11
