"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",20,1,23,15,8,26,11,19,18,25,14,13,14,16,1,26,4,7
"2",22,8,12,23,20,8,5,20,22,9,22,20,6,22,18,22,10,17
"3",2,18,21,12,18,25,7,4,6,8,19,14,5,11,24,4,5,15
"4",14,24,9,3,23,22,10,18,14,3,24,25,20,8,5,16,13,5
"5",16,10,20,17,3,13,24,11,7,7,26,2,3,2,10,19,12,6
"6",23,19,18,7,4,4,12,3,20,2,4,9,16,9,20,23,14,18
"7",3,11,16,18,2,23,22,25,12,10,2,24,23,24,19,15,16,14
"8",6,5,4,13,6,14,15,16,23,6,5,19,9,4,3,2,9,21
"9",11,21,24,14,22,6,19,9,3,14,6,22,7,18,2,24,21,11
"10",18,26,17,22,16,9,13,23,11,18,1,1,11,12,17,1,7,1
"11",24,17,19,8,25,16,25,26,24,22,16,17,12,1,15,7,19,12
"12",5,20,7,25,15,15,14,17,4,24,23,7,15,5,21,25,17,22
"13",19,25,1,21,9,24,21,1,17,12,18,16,10,14,12,17,26,25
"14",12,13,10,16,7,1,6,14,16,26,10,26,1,7,25,9,24,8
"15",26,15,14,20,13,19,4,8,1,17,7,21,25,3,9,13,1,19
"16",21,14,3,11,5,5,8,24,5,13,20,5,22,17,4,5,20,16
"17",7,16,5,6,1,11,2,6,8,21,17,18,13,26,14,20,8,2
"18",13,2,6,26,26,2,26,7,9,1,13,15,17,15,16,8,3,13
"19",8,3,22,5,19,10,1,22,10,11,9,12,19,6,13,18,25,26
"20",25,4,8,1,14,18,17,15,2,5,11,10,8,21,22,12,23,4
"21",1,6,15,19,17,7,16,2,21,19,21,11,24,10,6,11,22,3
"22",10,12,2,9,21,20,20,13,26,15,8,3,26,13,26,21,6,9
"23",9,22,25,24,10,17,3,12,25,4,12,6,18,23,11,6,18,10
"24",4,23,13,2,12,3,23,21,19,16,15,8,2,20,8,14,2,20
"25",17,9,26,4,11,12,18,10,15,20,25,23,21,19,23,3,11,24
"26",15,7,11,10,24,21,9,5,13,23,3,4,4,25,7,10,15,23
