"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",18,1,26,13,15,11,1,26,13,9,1,12,11,26,10,1,26,15,16,15,1,13,26
"2",11,7,6,16,19,8,8,23,21,16,8,6,18,7,4,24,5,23,22,19,16,8,5
"3",8,6,5,22,16,14,20,5,3,7,12,15,20,24,17,20,10,22,5,3,5,2,16
"4",23,25,25,23,9,20,22,12,23,12,19,22,10,8,6,23,11,16,14,17,3,3,9
"5",24,5,23,24,23,13,6,6,22,22,16,13,19,17,20,9,7,2,6,24,17,19,13
"6",5,8,20,9,6,21,15,4,8,18,3,10,9,4,23,22,2,18,13,16,15,23,25
"7",25,10,4,7,3,5,9,17,15,6,20,5,6,16,24,21,15,4,11,18,10,4,21
"8",12,21,14,19,7,10,13,20,9,19,9,24,24,20,3,25,22,5,3,22,11,24,18
"9",14,9,13,1,26,26,17,13,26,14,26,9,13,25,14,26,25,9,20,1,13,26,11
"10",3,22,22,14,5,19,4,21,17,8,18,7,21,19,22,17,19,21,9,5,20,17,6
"11",26,12,18,12,2,3,10,1,4,11,14,19,16,15,1,2,13,24,25,4,14,25,10
"12",1,17,24,3,17,15,3,18,2,24,11,18,1,12,12,19,14,1,26,12,18,1,14
"13",19,19,12,2,18,24,11,2,18,1,6,16,14,13,9,15,16,26,2,26,26,10,22
"14",22,26,3,26,24,1,16,14,6,13,2,8,5,2,11,16,18,12,8,6,19,18,12
"15",16,18,19,4,20,6,24,11,7,20,10,4,22,11,21,4,23,19,12,20,7,5,7
"16",13,20,15,21,25,9,12,19,12,17,25,26,12,14,26,7,1,17,18,2,25,6,24
"17",4,14,21,6,21,4,21,24,19,4,21,14,17,3,5,11,9,11,4,10,6,20,20
"18",15,24,2,10,13,22,2,3,10,21,22,3,25,10,7,13,6,7,17,7,2,14,17
"19",21,2,16,8,11,12,26,15,14,2,5,25,26,9,19,18,8,6,19,8,22,15,2
"20",9,13,7,17,22,18,5,10,11,3,15,23,4,6,25,12,21,14,21,25,4,22,3
"21",7,23,9,5,8,7,7,7,25,15,4,21,7,23,15,6,4,10,7,11,9,11,4
"22",6,15,8,25,4,16,18,8,24,10,13,11,23,5,13,3,24,3,24,14,21,7,23
"23",20,16,11,20,10,17,23,22,20,25,7,2,2,18,18,10,12,25,23,9,8,21,19
"24",2,4,1,11,12,2,25,9,16,23,23,20,8,21,8,14,20,20,15,23,23,16,15
"25",17,3,10,15,1,25,14,25,1,26,24,17,15,1,16,8,17,13,1,13,12,9,1
"26",10,11,17,18,14,23,19,16,5,5,17,1,3,22,2,5,3,8,10,21,24,12,8
