"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",12,5,12,1,14,19,2,2,20,7,25,17,6,8,10
"2",22,11,8,5,5,15,16,8,5,18,6,25,3,17,5
"3",6,14,15,24,8,23,26,6,10,1,17,15,13,21,1
"4",10,6,2,21,2,11,10,25,3,22,19,14,14,5,9
"5",3,13,14,17,11,1,7,13,15,16,22,26,2,1,26
"6",1,20,17,3,25,25,9,9,4,17,20,9,20,15,13
"7",7,9,7,7,20,9,15,16,7,4,23,1,11,20,24
"8",17,8,24,10,13,4,4,12,8,25,14,2,24,11,2
"9",24,16,6,15,18,24,5,17,12,5,3,8,9,2,6
"10",19,3,5,19,26,7,24,14,22,13,21,19,19,13,4
"11",4,24,3,11,15,21,23,20,9,26,13,20,7,12,20
"12",9,10,23,22,23,20,12,22,14,3,7,24,23,9,18
"13",11,12,1,16,16,18,18,1,16,19,1,4,26,24,15
"14",2,2,21,13,3,5,19,18,19,6,4,10,8,16,11
"15",18,4,16,2,9,17,25,24,11,14,8,7,18,4,25
"16",5,22,9,26,10,13,1,21,24,15,11,6,21,18,8
"17",15,21,11,23,22,3,22,10,2,9,9,5,4,7,14
"18",13,25,25,18,7,8,3,3,6,12,2,18,15,14,23
"19",21,19,22,20,4,22,17,15,23,20,24,3,10,10,17
"20",26,1,19,25,21,14,11,4,13,24,15,11,5,19,21
"21",8,18,20,8,19,10,21,5,25,21,10,22,16,3,7
"22",16,7,10,12,1,26,8,11,26,10,12,21,17,25,22
"23",23,23,4,6,6,6,13,7,18,2,16,13,22,6,19
"24",14,26,26,9,17,16,14,26,17,11,18,12,1,26,3
"25",20,15,13,4,24,2,6,23,21,23,5,16,12,22,16
"26",25,17,18,14,12,12,20,19,1,8,26,23,25,23,12
