"","V1","V2","V3","V4","V5","V6"
"1",2,6,24,7,11,13
"2",20,20,14,26,12,14
"3",3,21,3,20,13,23
"4",19,9,4,6,19,22
"5",21,11,9,10,7,2
"6",6,18,21,23,6,4
"7",15,5,7,24,4,18
"8",11,2,2,16,9,6
"9",14,23,13,5,2,7
"10",22,1,16,9,23,15
"11",5,3,12,18,17,20
"12",4,13,5,1,5,11
"13",9,8,17,12,1,24
"14",13,12,23,22,22,26
"15",12,22,26,11,18,9
"16",23,14,25,17,3,17
"17",17,4,22,2,16,3
"18",18,25,20,15,8,21
"19",25,17,11,3,10,25
"20",24,24,6,19,21,5
"21",16,16,1,13,26,12
"22",8,10,10,25,24,8
"23",1,15,15,14,20,1
"24",10,26,8,8,15,16
"25",26,7,18,21,14,10
"26",7,19,19,4,25,19
