"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",13,12,2,6,23,26,2,9,2,8,16,11,2,10,11,26,15,15,1,16,26,25,13,16,5
"2",16,24,18,5,20,17,20,11,21,21,3,19,7,22,19,17,20,23,4,5,18,10,5,21,16
"3",7,8,26,15,24,3,25,12,11,12,17,8,14,19,8,3,18,4,9,2,1,24,11,26,13
"4",2,18,1,26,1,13,26,16,8,26,1,23,15,13,25,15,12,12,18,13,15,26,14,20,1
"5",26,14,14,3,11,4,21,15,10,1,15,1,9,26,24,24,25,6,25,17,13,13,15,2,10
"6",17,23,7,8,6,5,8,17,17,4,6,16,13,7,3,22,6,8,7,3,5,18,20,19,20
"7",6,22,22,20,21,8,5,13,16,20,12,4,22,11,23,20,14,5,13,24,25,2,21,17,21
"8",11,21,25,24,2,25,6,7,18,13,23,2,12,25,12,18,2,17,23,8,14,20,9,10,17
"9",1,1,10,1,10,11,11,1,26,18,26,13,1,15,26,11,13,7,10,12,9,16,1,14,26
"10",9,7,17,18,15,20,15,18,22,6,10,24,25,16,16,25,4,2,2,22,12,21,4,5,11
"11",20,19,6,13,22,23,24,19,25,14,22,10,16,8,20,14,19,25,16,19,3,22,23,7,22
"12",19,20,12,7,16,22,14,4,7,10,9,5,23,9,21,6,5,10,20,10,4,5,3,23,6
"13",22,16,21,4,8,6,3,26,13,17,21,21,26,5,18,5,16,14,12,7,22,23,7,9,9
"14",12,13,15,19,5,2,19,21,3,7,18,12,6,2,15,13,3,26,14,25,19,9,2,25,23
"15",4,4,5,11,14,7,22,8,20,16,13,9,17,6,5,23,8,22,19,4,23,6,8,4,8
"16",18,2,16,14,26,1,1,10,12,25,2,25,3,12,14,12,1,16,26,18,2,11,16,8,15
"17",24,17,20,25,17,12,23,5,24,3,20,20,4,14,7,9,7,11,8,14,20,1,25,13,7
"18",5,10,13,22,9,16,4,24,14,9,8,7,5,18,22,8,17,24,6,6,6,7,22,6,4
"19",15,25,9,17,18,9,10,14,4,23,25,14,19,24,1,7,10,20,5,26,8,14,10,3,2
"20",25,5,3,23,19,15,7,23,9,11,19,22,18,21,10,21,24,13,17,9,11,3,6,18,24
"21",14,6,8,12,4,10,9,6,23,5,11,18,20,23,17,4,21,19,22,23,24,17,24,24,12
"22",8,11,24,9,12,21,12,22,19,22,24,17,8,4,6,19,22,9,21,21,7,8,17,22,3
"23",3,15,23,2,25,19,18,25,5,2,7,15,21,17,2,10,11,18,24,11,16,15,19,12,25
"24",10,26,11,16,13,18,13,2,1,15,14,26,11,1,13,1,26,1,15,1,17,12,26,1,18
"25",21,9,4,10,3,24,17,20,15,24,4,6,10,20,9,2,9,3,11,20,21,4,12,11,19
"26",23,3,19,21,7,14,16,3,6,19,5,3,24,3,4,16,23,21,3,15,10,19,18,15,14
