"","V1","V2","V3","V4"
"1",1,3,2,1
"2",1,3,2,3
"3",3,3,3,3
"4",3,2,2,3
"5",2,2,2,1
"6",1,2,3,3
"7",3,3,3,1
"8",1,1,1,2
"9",2,1,1,3
"10",1,1,3,3
"11",3,2,1,1
"12",3,2,2,1
"13",1,2,2,2
"14",3,3,1,3
"15",3,1,2,2
"16",2,3,3,3
"17",3,3,1,2
"18",2,1,3,1
"19",3,2,3,2
"20",2,2,1,3
"21",2,2,1,2
"22",3,3,2,2
"23",1,2,1,3
"24",2,3,2,1
"25",3,1,1,3
"26",1,1,2,3
"27",1,1,2,1
"28",2,1,1,1
"29",3,1,3,1
"30",1,3,3,2
"31",1,1,3,2
"32",2,2,3,3
"33",2,1,3,2
"34",3,1,2,3
"35",1,2,1,1
"36",1,3,1,2
"37",3,2,3,2
"38",2,3,3,1
"39",1,3,1,1
"40",2,2,2,2
"41",2,1,2,2
"42",2,3,1,2
"43",3,1,1,1
"44",1,2,3,1
"45",2,3,2,3
