"","V1","V2","V3"
"1",1,2,1
"2",1,2,2
"3",3,1,3
"4",1,3,3
"5",1,1,2
"6",1,2,3
"7",1,2,3
"8",2,2,2
"9",2,1,1
"10",2,2,2
"11",2,2,2
"12",3,1,1
"13",3,3,1
"14",1,3,2
"15",2,3,1
"16",3,2,1
"17",3,3,3
"18",1,2,3
"19",1,1,2
"20",1,1,2
"21",3,2,1
"22",2,2,3
"23",2,1,3
"24",1,3,1
"25",2,3,3
"26",3,2,3
"27",2,3,2
"28",2,3,1
"29",1,3,1
"30",2,2,1
"31",3,3,2
"32",2,1,3
"33",2,1,2
"34",3,1,3
"35",3,1,2
"36",3,2,1
"37",1,1,1
"38",3,2,2
"39",2,1,1
"40",1,1,1
"41",3,3,2
"42",3,3,2
"43",1,3,3
"44",3,1,3
"45",2,3,3
