"","V1","V2","V3","V4","V5"
"1",2,3,1,3,3
"2",3,3,2,2,3
"3",1,2,2,3,2
"4",1,2,2,1,2
"5",1,3,3,3,3
"6",3,3,2,3,1
"7",2,2,2,2,1
"8",2,2,3,1,2
"9",2,1,1,1,3
"10",1,3,3,1,1
"11",3,3,3,1,2
"12",1,2,3,2,1
"13",1,3,1,1,2
"14",2,2,3,1,3
"15",3,1,2,2,3
"16",2,1,2,2,1
"17",3,1,1,2,2
"18",3,3,3,2,1
"19",2,3,3,2,3
"20",3,1,3,3,1
"21",3,2,2,1,1
"22",2,1,3,3,2
"23",1,1,2,1,1
"24",3,2,3,3,2
"25",3,2,1,1,3
"26",1,3,2,1,3
"27",2,3,2,2,2
"28",1,1,3,2,3
"29",2,3,1,1,1
"30",1,3,1,2,2
"31",2,1,3,1,1
"32",2,3,2,3,2
"33",1,2,1,2,3
"34",1,1,2,3,3
"35",1,1,3,2,2
"36",3,2,1,2,2
"37",3,1,1,1,3
"38",2,2,1,2,1
"39",3,3,1,3,1
"40",1,1,1,3,1
"41",3,1,2,1,2
"42",2,2,2,3,3
"43",3,2,3,3,3
"44",1,2,1,3,1
"45",2,1,1,3,2
