"","V1","V2","V3","V4"
"1",30,5,14,25
"2",20,6,28,13
"3",6,13,10,23
"4",27,18,23,17
"5",7,27,6,14
"6",17,4,2,2
"7",26,23,1,22
"8",3,17,3,9
"9",16,24,9,6
"10",13,8,4,18
"11",12,15,30,26
"12",18,25,21,24
"13",4,28,17,29
"14",21,20,5,28
"15",10,2,8,27
"16",2,21,27,20
"17",14,29,24,10
"18",19,16,13,15
"19",15,10,18,21
"20",5,3,22,16
"21",28,12,7,11
"22",22,14,16,5
"23",23,30,11,19
"24",25,1,19,8
"25",9,19,20,1
"26",24,9,25,30
"27",29,26,29,3
"28",11,22,15,12
"29",1,7,12,4
"30",8,11,26,7
