"","V1","V2","V3","V4","V5","V6"
"1",8,1,12,12,1,18
"2",6,23,15,28,30,22
"3",11,5,4,25,3,5
"4",22,13,10,7,7,12
"5",2,29,17,22,8,6
"6",26,6,16,1,14,8
"7",19,17,3,14,23,7
"8",24,25,29,3,2,30
"9",12,11,18,10,9,23
"10",3,21,27,13,21,26
"11",13,16,11,23,15,29
"12",21,10,26,21,29,4
"13",25,22,6,20,12,16
"14",15,3,28,16,13,14
"15",7,12,30,27,17,10
"16",10,26,22,19,24,13
"17",9,19,5,2,19,20
"18",4,7,7,18,6,27
"19",14,28,8,4,28,11
"20",29,2,9,29,22,1
"21",20,27,2,26,10,25
"22",5,15,23,5,11,2
"23",28,30,25,9,16,21
"24",1,9,1,8,26,15
"25",30,20,20,15,4,9
"26",16,24,14,11,18,3
"27",17,18,24,30,5,17
"28",18,4,21,6,25,28
"29",27,14,13,17,27,24
"30",23,8,19,24,20,19
