"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",11,10,25,20,12,18,30,20,3,29,3,26,20,16,8,11,12,2,18,28,6,8,9
"2",15,27,3,24,5,9,12,8,28,10,7,23,21,19,20,19,3,18,23,23,12,4,28
"3",17,13,14,12,6,13,17,30,1,18,8,1,1,12,19,6,22,27,24,1,11,29,7
"4",18,7,26,18,17,8,2,19,23,17,14,3,3,27,21,26,8,5,12,5,23,9,27
"5",27,8,5,21,1,29,5,21,10,1,2,8,17,4,25,12,14,20,13,11,15,24,22
"6",21,15,8,2,4,5,23,9,17,26,10,14,22,17,7,5,7,6,5,3,27,21,20
"7",9,9,4,4,28,11,21,15,12,8,22,24,8,3,12,17,23,3,27,4,13,12,24
"8",25,23,12,6,20,2,29,13,30,2,23,16,6,22,22,8,11,21,17,10,7,10,5
"9",20,5,11,26,21,24,4,10,5,24,13,19,29,25,4,18,30,14,25,8,14,17,4
"10",28,18,29,14,2,22,19,2,26,22,20,20,9,28,27,15,15,4,26,26,18,23,11
"11",8,25,28,5,26,12,6,3,13,23,6,6,28,29,13,9,17,23,11,21,8,15,19
"12",4,17,1,15,11,3,3,27,15,16,21,15,26,2,2,14,9,26,29,18,24,6,6
"13",3,3,22,17,8,21,20,4,19,4,9,11,7,10,3,24,5,22,21,9,2,16,18
"14",22,2,18,1,13,20,16,18,20,21,30,28,30,6,23,3,16,19,22,20,30,13,30
"15",12,24,6,22,19,17,8,7,21,28,29,25,10,9,14,23,13,28,10,6,26,27,8
"16",7,26,24,16,9,10,10,17,6,5,27,17,25,20,29,2,27,8,19,7,21,26,17
"17",1,20,15,27,18,15,28,5,2,19,24,2,18,5,30,16,6,9,2,16,10,19,29
"18",6,16,16,28,29,27,18,25,25,25,19,18,23,18,26,28,20,25,14,2,5,5,21
"19",26,21,20,13,7,4,7,23,7,27,17,22,5,8,16,22,29,13,4,22,3,14,23
"20",23,22,7,19,25,14,25,24,27,3,12,5,27,7,9,27,21,10,20,25,22,18,12
"21",16,19,19,9,30,30,1,12,22,13,15,30,14,1,1,1,1,12,16,30,9,30,16
"22",5,28,10,11,14,25,27,26,24,15,4,27,4,24,6,13,25,17,8,14,20,22,26
"23",29,6,23,23,23,7,26,1,18,12,16,29,24,11,18,10,28,30,7,13,17,1,14
"24",10,14,27,29,3,26,9,14,29,7,18,4,12,13,10,7,24,16,1,17,28,11,2
"25",19,29,30,3,16,28,24,29,9,30,28,7,13,15,15,25,2,15,28,12,16,2,15
"26",13,11,21,7,27,16,22,22,8,6,11,21,19,26,24,21,4,24,3,19,25,25,3
"27",30,30,17,30,15,6,15,16,16,14,1,13,16,30,11,30,18,1,30,15,1,28,1
"28",2,1,9,10,22,1,14,11,11,20,5,9,11,14,28,20,26,11,15,27,29,3,10
"29",24,12,13,8,10,19,11,6,4,9,25,10,15,23,5,29,19,29,9,29,19,7,25
"30",14,4,2,25,24,23,13,28,14,11,26,12,2,21,17,4,10,7,6,24,4,20,13
