"","V1","V2","V3","V4","V5"
"1",13,6,27,2,12
"2",23,3,25,27,4
"3",3,18,18,3,6
"4",11,11,16,16,24
"5",8,13,7,23,1
"6",10,27,1,12,5
"7",25,9,29,15,8
"8",27,30,15,7,2
"9",12,25,14,25,14
"10",17,10,10,30,7
"11",6,29,21,29,17
"12",7,8,5,4,27
"13",9,20,26,9,19
"14",5,2,13,10,9
"15",29,12,23,5,16
"16",28,7,17,24,29
"17",19,14,3,8,13
"18",26,19,2,28,25
"19",15,17,22,18,3
"20",20,4,20,11,23
"21",4,15,30,26,22
"22",22,26,8,1,21
"23",24,16,12,13,18
"24",30,23,6,17,10
"25",2,5,9,19,15
"26",18,28,28,20,26
"27",21,21,19,22,11
"28",1,24,24,14,28
"29",14,1,4,21,20
"30",16,22,11,6,30
