"","V1","V2"
"1",4,2
"2",2,4
"3",2,1
"4",2,3
"5",5,3
"6",5,5
"7",5,2
"8",3,3
"9",1,1
"10",1,2
"11",5,1
"12",4,4
"13",3,5
"14",3,1
"15",5,3
"16",5,5
"17",5,4
"18",1,5
"19",4,3
"20",3,2
"21",2,5
"22",3,5
"23",1,5
"24",5,2
"25",4,1
"26",2,1
"27",2,2
"28",5,4
"29",4,3
"30",4,5
"31",4,4
"32",1,2
"33",1,3
"34",5,1
"35",2,3
"36",1,4
"37",2,4
"38",3,1
"39",2,2
"40",3,2
"41",1,1
"42",2,5
"43",1,3
"44",4,1
"45",4,5
"46",1,4
"47",3,3
"48",4,2
"49",3,4
"50",3,4
