"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",3,3,1,3,3,1,2,1,3,3,1,2,2,2,2,1,1,2,2
"2",2,1,3,3,3,2,3,3,3,2,2,1,3,1,3,3,2,3,2
"3",2,1,3,3,2,3,1,1,1,2,1,1,3,2,2,1,3,2,1
"4",2,1,1,2,2,3,3,1,3,2,3,3,1,3,3,2,1,3,2
"5",3,2,3,1,2,1,3,2,2,3,2,1,3,3,1,1,1,1,2
"6",1,1,2,3,1,2,1,2,2,1,3,1,2,2,3,1,1,1,2
"7",1,1,1,1,2,1,1,2,3,2,2,3,3,2,2,3,3,1,3
"8",1,2,1,1,3,2,3,1,1,3,3,1,2,1,2,2,3,2,3
"9",1,3,1,1,1,2,3,1,2,2,1,2,3,3,3,2,2,1,1
"10",3,2,2,3,1,2,2,1,3,1,3,2,3,3,2,3,3,3,1
"11",1,2,2,3,2,3,2,3,2,3,1,3,3,1,3,2,1,2,3
"12",3,3,3,2,2,1,1,2,3,3,3,1,1,1,3,2,2,2,1
"13",2,1,2,2,1,2,3,2,3,3,1,2,2,1,1,1,3,1,3
"14",2,1,2,1,1,1,2,3,1,3,3,2,1,2,2,3,1,3,1
"15",2,3,2,3,3,1,2,3,1,2,3,3,2,3,1,2,3,1,2
"16",3,1,3,1,2,3,2,1,2,1,3,3,2,1,1,2,2,1,1
"17",3,3,2,3,2,3,3,2,1,2,2,2,1,1,2,3,1,1,3
"18",3,2,2,1,3,2,1,2,1,2,1,3,1,3,3,1,2,3,3
"19",1,1,2,2,3,1,2,1,2,1,1,1,1,3,1,3,2,2,3
"20",3,3,1,2,1,3,2,3,2,2,3,1,3,2,1,1,2,3,3
"21",2,2,1,2,3,1,1,2,1,1,1,2,3,1,1,2,1,3,1
"22",2,3,3,1,1,3,1,3,3,1,2,1,2,3,2,2,1,2,3
"23",1,3,3,2,1,2,1,1,1,3,2,3,2,2,1,3,2,3,2
"24",2,2,1,2,3,3,1,3,2,3,2,2,1,3,3,3,3,1,1
"25",1,2,1,3,2,2,3,3,3,1,2,3,1,2,1,1,2,2,1
"26",1,3,3,1,3,3,2,2,2,1,2,2,1,1,2,1,3,3,2
"27",3,2,3,2,1,1,3,3,1,1,1,3,2,2,3,3,3,2,2
