"","V1","V2","V3","V4","V5","V6","V7"
"1",3,3,1,1,2,3,3
"2",2,3,1,2,2,2,1
"3",1,3,3,3,1,3,1
"4",2,1,1,3,3,2,2
"5",1,1,3,1,2,2,2
"6",3,3,3,3,3,2,2
"7",2,3,3,3,2,1,3
"8",2,2,3,1,3,2,1
"9",3,1,2,3,2,3,2
"10",2,1,2,1,2,3,1
"11",1,2,2,2,2,2,3
"12",3,2,2,3,1,2,3
"13",3,1,3,2,1,1,1
"14",2,2,2,1,1,1,2
"15",3,1,1,1,3,1,3
"16",1,1,1,2,1,2,3
"17",3,3,2,1,1,2,1
"18",1,2,3,1,3,3,3
"19",1,3,1,1,1,1,2
"20",2,1,3,2,1,3,3
"21",2,2,1,3,1,3,2
"22",3,2,1,2,3,3,1
"23",1,2,1,3,2,1,1
"24",2,3,2,2,3,1,3
"25",1,1,2,3,3,1,1
"26",1,3,2,2,3,3,2
"27",3,2,3,2,2,1,2
