"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",12,4,3,11,15,4,9,11,4,12,2,9
"2",15,7,7,15,9,15,16,5,16,9,5,11
"3",13,8,15,1,2,1,8,3,9,4,3,1
"4",1,6,1,8,16,9,14,2,8,2,13,14
"5",3,12,2,6,3,12,5,7,14,14,1,7
"6",16,3,11,5,13,8,6,15,15,7,16,6
"7",7,2,13,10,7,5,3,8,12,1,6,12
"8",8,10,6,3,11,2,12,16,13,15,8,15
"9",9,1,10,7,1,16,15,10,6,16,11,4
"10",10,11,4,14,12,13,4,12,10,3,10,2
"11",11,16,14,13,8,10,11,1,11,13,14,8
"12",6,14,12,4,14,14,10,6,3,5,7,10
"13",2,13,9,12,6,6,13,14,7,6,4,5
"14",14,15,5,2,5,7,1,9,5,8,12,13
"15",4,5,16,16,4,11,7,13,1,10,9,16
"16",5,9,8,9,10,3,2,4,2,11,15,3
