"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",9,8,15,6,6,8,1,12,16,1,1,1,16,8
"2",14,4,5,7,4,11,5,7,11,13,12,4,12,3
"3",11,9,7,9,15,6,16,1,2,16,16,3,9,13
"4",16,5,3,11,9,5,9,13,9,2,14,16,2,11
"5",13,12,6,5,14,2,2,11,5,6,7,11,6,4
"6",2,10,16,12,12,15,6,8,4,10,15,14,14,6
"7",1,1,1,1,16,9,7,15,8,9,2,8,10,16
"8",12,11,13,8,2,14,13,14,13,8,11,12,8,15
"9",15,15,11,16,5,1,11,9,7,15,3,9,13,10
"10",4,13,2,13,1,7,3,2,15,12,10,10,5,9
"11",8,6,10,3,8,13,4,4,6,14,5,15,3,14
"12",5,14,4,4,10,16,15,6,10,4,8,6,15,12
"13",10,2,9,14,13,10,12,3,14,3,6,13,11,5
"14",3,7,12,10,11,4,14,10,12,11,4,5,4,2
"15",6,3,14,2,3,3,10,5,3,5,13,7,7,7
"16",7,16,8,15,7,12,8,16,1,7,9,2,1,1
