"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",3,3,3,2,1,3,1,3,3,1,1,1,1
"2",3,2,1,4,2,3,4,2,1,3,3,4,1
"3",1,4,4,1,1,2,4,1,2,2,2,2,2
"4",2,3,1,3,4,1,3,1,3,1,4,2,1
"5",3,1,3,4,3,2,4,3,4,1,3,1,3
"6",1,4,1,2,3,4,2,3,2,4,3,3,1
"7",1,3,2,3,1,2,3,4,1,4,4,1,3
"8",2,2,4,4,3,3,1,1,2,4,1,2,4
"9",3,1,1,1,2,1,1,3,1,3,2,2,4
"10",4,2,2,2,4,1,4,2,2,4,1,1,2
"11",3,3,2,1,4,2,1,1,4,3,3,4,3
"12",1,2,1,1,3,3,3,4,4,1,1,3,3
"13",1,2,4,3,2,1,1,2,2,1,4,3,3
"14",4,1,4,1,3,3,3,2,3,4,4,3,2
"15",3,3,4,3,4,4,4,4,3,3,2,3,4
"16",2,4,3,1,4,3,2,2,1,2,3,1,4
"17",2,4,3,4,2,1,3,3,4,4,2,4,2
"18",4,4,2,4,3,4,1,4,2,2,4,2,2
"19",2,1,3,3,4,2,2,4,1,2,1,4,1
"20",4,3,3,2,2,4,3,1,1,1,2,4,3
"21",2,1,2,2,1,4,4,3,3,2,4,4,4
"22",4,4,1,4,1,2,2,2,3,2,1,3,4
"23",1,1,2,3,2,4,2,1,4,3,2,1,2
"24",4,2,4,2,1,1,2,4,4,3,3,2,1
