"","V1","V2","V3"
"1",2,3,1
"2",4,3,3
"3",4,2,1
"4",1,3,4
"5",4,4,4
"6",2,3,2
"7",1,3,3
"8",4,1,4
"9",2,2,1
"10",3,3,2
"11",1,4,4
"12",4,1,1
"13",4,4,1
"14",3,2,4
"15",2,4,4
"16",3,3,4
"17",1,1,4
"18",4,1,2
"19",1,1,2
"20",3,2,2
"21",1,2,3
"22",4,2,3
"23",3,4,3
"24",1,2,3
"25",2,1,2
"26",2,4,1
"27",1,4,2
"28",2,3,2
"29",2,1,4
"30",1,4,1
"31",3,3,3
"32",4,4,2
"33",3,4,2
"34",2,4,3
"35",1,1,1
"36",3,1,3
"37",2,2,4
"38",3,3,1
"39",4,2,3
"40",1,2,1
"41",3,1,1
"42",4,3,4
"43",3,2,2
"44",2,1,3
