"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",22,19,12,12,1,13,13,18,13,13,22,20,21,21,1,10,1,14,13,21,14
"2",5,8,5,4,13,14,2,16,8,8,18,19,2,19,15,18,10,17,6,4,15
"3",4,10,8,7,19,15,4,7,10,14,4,3,20,7,5,8,19,4,14,2,9
"4",16,4,18,11,14,17,5,20,21,10,7,21,8,3,18,5,20,16,12,14,4
"5",9,21,22,9,21,6,15,21,4,21,3,16,9,11,14,14,4,10,8,1,8
"6",2,14,21,18,10,16,16,8,6,15,16,11,5,8,3,2,11,20,7,20,3
"7",13,22,3,8,11,22,7,13,3,4,21,8,12,9,22,11,17,1,10,18,21
"8",6,7,7,17,16,5,9,11,15,16,6,14,14,5,21,17,2,19,19,19,18
"9",1,12,1,10,22,1,22,10,22,1,15,15,13,22,11,1,15,12,15,13,12
"10",17,16,16,19,15,9,14,9,16,6,20,13,19,2,17,21,16,6,4,3,10
"11",18,18,4,20,20,10,6,15,19,17,9,6,7,14,6,6,9,13,3,7,20
"12",12,5,19,14,3,3,11,17,12,20,19,4,1,6,12,3,13,2,17,6,16
"13",8,15,17,2,2,21,10,4,14,2,5,5,16,13,16,4,5,18,5,12,13
"14",19,17,9,3,4,4,8,5,5,5,10,17,6,4,4,15,14,15,18,9,6
"15",3,9,10,22,6,2,12,22,1,11,12,7,22,16,20,12,22,11,2,10,1
"16",11,1,11,1,12,11,21,1,9,22,11,22,15,1,10,7,12,9,1,22,22
"17",14,20,15,16,18,18,19,3,7,12,13,2,10,20,13,16,21,21,20,8,17
"18",7,13,14,5,5,12,18,19,20,9,2,10,4,12,7,20,18,7,22,17,19
"19",20,2,2,13,9,7,20,14,11,7,1,1,18,10,9,22,7,22,11,11,2
"20",10,3,13,15,17,8,1,2,17,3,14,9,3,17,2,13,3,3,9,15,7
"21",21,6,6,6,8,19,17,6,18,18,17,12,11,15,19,9,6,8,21,5,5
"22",15,11,20,21,7,20,3,12,2,19,8,18,17,18,8,19,8,5,16,16,11
